time_sec,cell_id,prb_util_pct,ue_count,load_variance,avg_dl_throughput_bps,cdr
1,2,85.7143,8,24.469,11481.6,0
1,3,100,2,24.469,11481.6,0
1,4,100,2,24.469,11481.6,0
1,5,96.4286,3,24.469,11481.6,0
1,6,100,2,24.469,11481.6,0
1,7,100,2,24.469,11481.6,0
1,8,100,1,24.469,11481.6,0
2,2,96.4286,3,1.56185,18880,0
2,3,96.4286,3,1.56185,18880,0
2,4,96.4286,3,1.56185,18880,0
2,5,96.4286,3,1.56185,18880,0
2,6,96.4286,3,1.56185,18880,0
2,7,96.4286,3,1.56185,18880,0
2,8,100,2,1.56185,18880,0
3,2,100,2,1.56185,20480,0
3,3,96.4286,3,1.56185,20480,0
3,4,96.4286,3,1.56185,20480,0
3,5,96.4286,3,1.56185,20480,0
3,6,96.4286,3,1.56185,20480,0
3,7,96.4286,3,1.56185,20480,0
3,8,96.4286,3,1.56185,20480,0
4,2,100,2,1.56185,19750.4,0
4,3,96.4286,3,1.56185,19750.4,0
4,4,96.4286,3,1.56185,19750.4,0
4,5,96.4286,3,1.56185,19750.4,0
4,6,96.4286,3,1.56185,19750.4,0
4,7,96.4286,3,1.56185,19750.4,0
4,8,96.4286,3,1.56185,19750.4,0
5,2,100,2,1.56185,20288,0
5,3,96.4286,3,1.56185,20288,0
5,4,96.4286,3,1.56185,20288,0
5,5,96.4286,3,1.56185,20288,0
5,6,96.4286,3,1.56185,20288,0
5,7,96.4286,3,1.56185,20288,0
5,8,96.4286,3,1.56185,20288,0
6,2,96.4286,3,1.56185,19840,0
6,3,96.4286,3,1.56185,19840,0
6,4,96.4286,3,1.56185,19840,0
6,5,96.4286,3,1.56185,19840,0
6,6,96.4286,3,1.56185,19840,0
6,7,100,2,1.56185,19840,0
6,8,96.4286,3,1.56185,19840,0
7,2,100,2,1.56185,19584,0
7,3,96.4286,3,1.56185,19584,0
7,4,96.4286,3,1.56185,19584,0
7,5,96.4286,3,1.56185,19584,0
7,6,96.4286,3,1.56185,19584,0
