time_sec,ue_id,from_cell,to_cell,event,executed_ok
1.66,10,4,3,START,0
1.66177,10,4,3,SUCCESS,1
2.26373,8,5,6,START,0
2.26552,8,5,6,SUCCESS,1
2.30775,4,3,4,START,0
2.30952,4,3,4,SUCCESS,1
2.70875,5,3,2,START,0
2.71052,5,3,2,SUCCESS,1
2.7615,6,3,8,START,0
2.76327,6,3,8,SUCCESS,1
2.809,15,6,7,START,0
2.81077,15,6,7,SUCCESS,1
2.86348,3,2,6,START,0
2.86527,3,2,6,SUCCESS,1
2.90925,7,4,5,START,0
2.91102,7,4,5,SUCCESS,1
2.96298,11,5,2,START,0
2.96477,11,5,2,SUCCESS,1
3.15848,9,4,2,START,0
3.16027,9,4,2,SUCCESS,1
3.40952,16,6,7,START,0
3.41127,16,6,7,SUCCESS,1
3.86523,1,5,6,START,0
3.86702,1,5,6,SUCCESS,1
4.36773,14,6,5,START,0
4.36952,14,6,5,SUCCESS,1
5.0075,2,2,8,START,0
5.00773,17,7,8,START,0
5.00927,2,2,8,SUCCESS,1
5.00952,17,7,8,SUCCESS,1
5.60823,13,5,6,START,0
5.61002,13,5,6,SUCCESS,1
5.90873,18,7,2,START,0
5.91052,18,7,2,SUCCESS,1
6.55798,19,7,6,START,0
6.55977,19,7,6,SUCCESS,1
6.66325,12,5,4,START,0
6.66502,12,5,4,SUCCESS,1
7.30498,4,4,3,START,0
7.30677,4,4,3,SUCCESS,1
7.653,5,2,3,START,0
7.65477,5,2,3,SUCCESS,1
7.75698,15,7,8,START,0
7.75877,15,7,8,SUCCESS,1
7.76573,6,8,7,START,0
7.76752,6,8,7,SUCCESS,1
7.86348,5,3,4,START,0
7.86527,5,3,4,SUCCESS,1
7.90598,7,5,2,START,0
7.90777,7,5,2,SUCCESS,1
8.00698,11,2,5,START,0
8.00877,11,2,5,SUCCESS,1
8.6125,9,2,6,START,0
8.61427,9,2,6,SUCCESS,1
8.71198,8,6,5,START,0
8.71377,8,6,5,SUCCESS,1
9.012,1,6,5,START,0
9.01377,1,6,5,SUCCESS,1
9.96,2,8,7,START,0
9.96177,2,8,7,SUCCESS,1
10.013,3,6,5,START,0
10.0148,3,6,5,SUCCESS,1
10.057,17,8,7,START,0
10.0588,17,8,7,SUCCESS,1
10.2082,16,7,8,START,0
10.21,16,7,8,SUCCESS,1
10.361,10,3,8,START,0
10.3628,10,3,8,SUCCESS,1
11.6595,19,6,5,START,0
11.6613,19,6,5,SUCCESS,1
12.0592,12,4,2,START,0
12.061,12,4,2,SUCCESS,1
12.5613,4,3,8,START,0
12.563,4,3,8,SUCCESS,1
12.8587,6,7,8,START,0
12.8605,6,7,8,SUCCESS,1
13.0035,7,2,7,START,0
13.0053,7,2,7,SUCCESS,1
13.0102,5,4,3,START,0
13.012,5,4,3,SUCCESS,1
13.1105,7,7,8,START,0
13.1123,7,7,8,SUCCESS,1
13.2135,18,2,8,START,0
13.2153,18,2,8,SUCCESS,1
13.7615,9,6,7,START,0
13.7633,9,6,7,SUCCESS,1
13.857,8,5,6,START,0
13.8588,8,5,6,SUCCESS,1
14.561,11,5,2,START,0
14.5628,11,5,2,SUCCESS,1
15.0568,2,7,6,START,0
15.0585,2,7,6,SUCCESS,1
15.1143,3,5,2,START,0
15.116,3,5,2,SUCCESS,1
15.2585,16,8,7,START,0
15.2603,16,8,7,SUCCESS,1
15.4072,10,8,6,START,0
15.409,10,8,6,SUCCESS,1
16.8095,20,8,7,START,0
16.8113,20,8,7,SUCCESS,1
17.0615,12,2,3,START,0
17.0633,12,2,3,SUCCESS,1
17.362,15,8,2,START,0
17.3638,15,8,2,SUCCESS,1
18.0075,5,3,4,START,0
18.0093,5,3,4,SUCCESS,1
18.1568,7,8,7,START,0
18.1585,7,8,7,SUCCESS,1
18.261,19,5,6,START,0
18.2628,19,5,6,SUCCESS,1
18.365,5,4,2,START,0
18.3668,5,4,2,SUCCESS,1
18.413,18,8,2,START,0
18.4148,18,8,2,SUCCESS,1
18.7107,6,8,3,START,0
18.7125,6,8,3,SUCCESS,1
20.4217,10,6,4,START,0
20.4235,10,6,4,SUCCESS,1
22.7195,11,2,8,START,0
22.7213,11,2,8,SUCCESS,1
22.727,15,2,5,START,0
22.728,12,3,2,START,0
22.7288,15,2,5,SUCCESS,1
22.7298,12,3,2,SUCCESS,1
22.7322,8,6,4,START,0
22.734,8,6,4,SUCCESS,1
22.9593,14,5,4,START,0
22.961,14,5,4,SUCCESS,1
23.0595,16,7,8,START,0
23.0613,16,7,8,SUCCESS,1
23.3175,19,6,7,START,0
23.3193,19,6,7,SUCCESS,1
23.4582,18,2,7,START,0
23.46,18,2,7,SUCCESS,1
23.5592,4,8,3,START,0
23.561,4,8,3,SUCCESS,1
23.8128,6,3,8,START,0
23.8145,6,3,8,SUCCESS,1
24.1097,20,7,8,START,0
24.1115,20,7,8,SUCCESS,1
24.2088,13,6,7,START,0
24.2105,13,6,7,SUCCESS,1
26.113,7,7,8,START,0
26.1148,7,7,8,SUCCESS,1
26.1183,9,7,8,START,0
26.12,9,7,8,SUCCESS,1
26.4597,5,2,7,START,0
26.4615,5,2,7,SUCCESS,1
26.5077,17,7,8,START,0
26.5095,17,7,8,SUCCESS,1
27.6693,10,4,3,START,0
27.671,10,4,3,SUCCESS,1
31.164,4,3,2,START,0
31.165,8,4,2,START,0
31.1658,4,3,2,SUCCESS,1
31.1668,8,4,2,SUCCESS,1
31.2683,20,8,7,START,0
31.27,20,8,7,SUCCESS,1
31.28,14,4,5,START,0
31.28,15,5,7,START,0
31.2818,14,4,5,SUCCESS,1
31.2818,15,5,7,SUCCESS,1
31.2835,19,7,6,START,0
31.2853,19,7,6,SUCCESS,1
31.3625,6,8,3,START,0
31.3643,6,8,3,SUCCESS,1
35.6187,4,2,5,START,0
35.6205,4,2,5,SUCCESS,1
35.637,8,2,3,START,0
35.6388,8,2,3,SUCCESS,1
36.717,5,7,2,START,0
36.7188,5,7,2,SUCCESS,1
37.421,12,2,7,START,0
37.4228,12,2,7,SUCCESS,1
37.4335,6,3,8,START,0
37.4353,6,3,8,SUCCESS,1
37.4436,10,3,7,START,0
37.445,19,6,7,START,0
37.4453,10,3,7,SUCCESS,1
37.4468,19,6,7,SUCCESS,1
37.4542,13,7,6,START,0
37.4558,13,7,6,SUCCESS,1
37.4642,1,5,6,START,0
37.466,1,5,6,SUCCESS,1
37.4742,15,7,8,START,0
37.476,15,7,8,SUCCESS,1
37.485,18,7,2,START,0
37.4868,18,7,2,SUCCESS,1
37.4948,7,8,3,START,0
37.4965,7,8,3,SUCCESS,1
37.8615,11,8,5,START,0
37.8633,11,8,5,SUCCESS,1
37.871,17,8,7,START,0
37.8728,17,8,7,SUCCESS,1
38.0095,2,6,2,START,0
38.0113,2,6,2,SUCCESS,1
38.4147,16,8,3,START,0
38.4165,16,8,3,SUCCESS,1
38.4615,3,2,4,START,0
38.4633,3,2,4,SUCCESS,1
39.1732,14,5,2,START,0
39.175,14,5,2,SUCCESS,1
40.2023,4,5,4,START,0
40.204,4,5,4,SUCCESS,1
40.7035,8,3,6,START,0
40.7053,8,3,6,SUCCESS,1
41.469,9,8,2,START,0
41.4708,9,8,2,SUCCESS,1
41.848,5,2,3,START,0
41.8498,5,2,3,SUCCESS,1
42.4078,7,3,8,START,0
42.4089,1,6,5,START,0
42.4095,7,3,8,SUCCESS,1
42.4105,1,6,5,SUCCESS,1
46.268,14,2,5,START,0
46.2698,14,2,5,SUCCESS,1
46.3618,11,5,2,START,0
46.3635,11,5,2,SUCCESS,1
46.521,3,4,2,START,0
46.5228,3,4,2,SUCCESS,1
47.2198,8,6,5,START,0
47.2215,8,6,5,SUCCESS,1
47.676,9,2,5,START,0
47.6778,9,2,5,SUCCESS,1
47.6872,13,6,7,START,0
47.689,13,6,7,SUCCESS,1
47.6983,10,7,5,START,0
47.7,10,7,5,SUCCESS,1
47.7075,12,7,8,START,0
