Time,IMSI,Level,Qual,SNR,CQI,SecondCell_RSRP,SecondCell_SNR,NRxLev1,NQual1,Speed,DL_bitrate,UL_bitrate,BANDWIDTH,serving_cell,best_neigh_cell
0.6,11,-44.8206,0,51.0974,15,-65.7059,3.83763,-65.7059,0,90,0,0,20,5,6
0.6,12,-49.2835,0,45.8095,15,-63.7374,7.15476,-63.7374,0,45,0,0,20,5,2
0.6,13,-50.5966,0,43.3143,15,-65.4067,4.34463,-65.4067,0,22,0,0,20,5,6
0.6,14,-40.2833,0,55.6849,15,-64.8898,5.21222,-64.8898,0,35,0,0,20,6,5
0.6,15,-61.1148,0,11.5752,7.98874,-67.0315,1.62164,-67.0315,0,120,0,0,20,6,7
0.6,16,-53.2094,0,24.8353,14.016,-62.6053,9.06128,-62.6053,0,60,0,0,20,6,5
0.6,17,-56.0467,0,20.0789,11.854,-61.8858,14.7581,-61.8858,0,20,0,0,20,7,2
0.6,18,-53.5734,0,24.2384,13.7447,-62.5589,13.7207,-62.5589,0,15,0,0,20,7,6
0.6,19,-49.1608,0,46.0602,15,-63.916,6.85615,-63.916,0,105,0,0,20,7,6
0.6,20,-54.1362,0,23.2915,13.3143,-62.6247,9.02411,-62.6247,0,25,0,0,20,8,3
0.65,2,-46.9149,0,49.0504,15,-64.0004,6.70769,-64.0004,0,30,124928,122976,20,2,8
0.65,3,-55.6656,0,20.7249,12.1477,-62.2244,9.69501,-62.2244,0,18,0,0,20,2,5
0.65,4,-57.0474,0,18.4026,11.0921,-66.951,2.27187,-66.951,0,110,100352,97600,20,3,5
0.65,5,-53.2402,0,24.8116,14.0053,-62.5386,9.16218,-62.5386,0,38,0,0,20,3,4
0.65,6,-33.1975,0,62.7458,15,-65.2894,4.53686,-65.2894,0,65,73728,74176,20,3,8
0.65,7,-53.5434,0,24.2863,13.7665,-62.3627,9.46377,-62.3627,0,60,0,0,20,4,3
0.65,9,-50.5502,0,43.3767,15,-63.821,7.00986,-63.821,0,75,0,0,20,4,3
0.65,10,-52.7665,0,25.6484,14.3856,-63.304,7.8684,-63.304,0,135,22528,25376,20,4,3
0.65,1,-44.6521,0,39.1884,15,-64.3801,6.40757,-64.3801,0,55,0,0,20,5,3
0.65,8,-56.2367,0,19.7837,11.7199,-63.7146,7.19977,-63.7146,0,130,49152,48800,20,5,6
0.65,11,-43.6055,0,52.2988,15,-65.5994,4.01521,-65.5994,0,90,0,0,20,5,6
0.65,12,-49.2256,0,45.92,15,-63.7853,7.07496,-63.7853,0,45,0,0,20,5,2
0.65,13,-50.6262,0,43.2585,15,-65.3753,4.39691,-65.3753,0,22,0,0,20,5,6
0.65,14,-40.7094,0,55.2633,15,-64.8352,5.30315,-64.8352,0,35,0,0,20,6,5
0.65,15,-61.3819,0,11.1295,7.78612,-67.1542,1.41692,-67.1542,0,120,0,0,20,6,7
0.65,16,-52.9481,0,25.2709,14.214,-62.7179,8.87356,-62.7179,0,60,0,0,20,6,5
0.65,17,-56.0277,0,20.1106,11.8685,-61.8678,10.2937,-61.8678,0,20,0,0,20,7,8
0.65,18,-53.5914,0,24.2083,13.7311,-62.5648,9.12371,-62.5648,0,15,0,0,20,7,8
0.65,19,-49.4156,0,45.5842,15,-63.9929,6.72803,-63.9929,0,105,0,0,20,7,6
0.65,20,-54.1403,0,36.563,15,-62.6533,8.97655,-62.6533,0,25,0,0,20,8,3
0.7,2,-47.1698,0,48.7975,15,-63.9631,6.76984,-63.9631,0,30,139264,134688,20,2,8
0.7,3,-55.7297,0,20.618,12.0991,-62.2159,9.70912,-62.2159,0,18,0,0,20,2,5
0.7,4,-57.1274,0,18.2704,11.032,-67.0733,2.28699,-67.0733,0,110,112640,111264,20,3,5
0.7,5,-53.4481,0,24.4648,13.8476,-62.46,9.29306,-62.46,0,38,0,0,20,3,4
0.7,6,-33.5246,0,62.4718,15,-65.1905,4.70159,-65.1905,0,65,88064,85888,20,3,8
0.7,7,-53.5258,0,24.3165,13.7802,-62.3739,9.44516,-62.3739,0,60,0,0,20,4,3
0.7,9,-50.2402,0,43.9638,15,-63.7951,7.05331,-63.7951,0,75,0,0,20,4,3
0.7,10,-53.5434,0,24.3481,13.7946,-63.1195,8.17609,-63.1195,0,135,36864,37088,20,4,3
0.7,1,-43.9643,0,40.3334,15,-64.4313,6.40221,-64.4313,0,55,0,0,20,5,3
0.7,8,-56.5829,0,19.2067,11.4576,-63.8513,6.97196,-63.8513,0,130,61440,62464,20,5,6
0.7,11,-42.2757,0,53.613,15,-65.4923,4.19373,-65.4923,0,90,0,0,20,5,6
0.7,12,-49.1846,0,45.999,15,-63.8334,6.99481,-63.8334,0,45,10240,13664,20,5,2
0.7,13,-50.6587,0,43.1973,15,-65.3438,4.44935,-65.3438,0,22,0,0,20,5,6
0.7,14,-41.1613,0,54.8159,15,-64.7804,5.3946,-64.7804,0,35,0,0,20,6,5
0.7,15,-61.6424,0,10.6947,7.58849,-67.2761,1.2136,-67.2761,0,120,0,0,20,6,7
0.7,16,-52.6855,0,25.7088,14.4131,-62.8293,8.68773,-62.8293,0,60,0,0,20,6,5
0.7,17,-56.0094,0,20.1413,11.8824,-61.85,10.3234,-61.85,0,20,0,0,20,7,8
0.7,18,-53.6102,0,24.1771,13.7169,-62.5708,9.1137,-62.5708,0,15,0,0,20,7,8
0.7,19,-49.7424,0,44.9721,15,-64.0722,6.59597,-64.0722,0,105,0,0,20,7,6
0.7,20,-54.1462,0,36.552,15,-62.6819,8.92883,-62.6819,0,25,0,0,20,8,3
0.75,2,-47.4228,0,34.5865,15,-63.9258,6.834,-63.9258,0,30,151552,146400,20,2,8
0.75,3,-55.7935,0,20.5081,12.0491,-62.2076,10.4879,-62.2076,0,18,0,0,20,2,8
0.75,4,-57.2241,0,18.105,10.9568,-67.1944,1.346,-67.1944,0,110,124928,122976,20,3,8
0.75,5,-53.6515,0,37.5028,15,-62.3808,9.42934,-62.3808,0,38,0,0,20,3,4
0.75,6,-34.7858,0,61.2059,15,-65.0906,4.87348,-65.0906,0,65,100352,97600,20,3,8
0.75,7,-53.5202,0,24.3269,13.7849,-62.3869,9.42299,-62.3869,0,60,0,0,20,4,3
0.75,9,-49.949,0,30.3186,15,-63.7709,7.09496,-63.7709,0,75,0,0,20,4,3
0.75,10,-54.2592,0,23.1124,13.2329,-62.9349,8.49377,-62.9349,0,135,49152,48800,20,4,3
0.75,1,-43.2515,0,52.6863,15,-64.4829,16.8648,-64.4829,0,55,0,0,20,5,4
0.75,8,-56.9316,0,31.2618,15,-63.9897,6.73377,-63.9897,0,130,73728,74176,20,5,6
0.75,11,-40.8505,0,55.0697,15,-65.3846,4.379,-65.3846,0,90,0,0,20,5,6
0.75,12,-49.1609,0,46.0465,15,-63.8816,6.91173,-63.8816,0,45,22528,25376,20,5,2
0.75,13,-50.694,0,29.0791,15,-65.3123,4.50366,-65.3123,0,22,0,39040,20,5,6
0.75,14,-41.6285,0,54.3379,15,-64.7252,5.48955,-64.7252,0,35,0,0,20,6,5
0.75,15,-61.8964,0,21.8005,12.6366,-67.3972,1.00523,-67.3972,0,120,0,0,20,6,7
0.75,16,-52.4221,0,39.8232,15,-62.9395,8.49786,-62.9395,0,60,0,0,20,6,5
