time_sec,ue_id,from_cell,to_cell,event,executed_ok
1.65925,10,4,3,START,0
1.66102,10,4,3,SUCCESS,1
2.3045,8,5,6,START,0
2.30627,8,5,6,SUCCESS,1
2.40173,11,5,2,START,0
2.40352,11,5,2,SUCCESS,1
2.705,3,2,6,START,0
2.70677,3,2,6,SUCCESS,1
2.8046,15,6,7,START,0
2.80627,15,6,7,SUCCESS,1
2.85723,5,3,4,START,0
2.85902,5,3,4,SUCCESS,1
3.10548,7,4,2,START,0
3.10727,7,4,2,SUCCESS,1
3.15677,6,3,8,START,0
3.157,9,4,2,START,0
3.15852,6,3,8,SUCCESS,1
3.15877,9,4,2,SUCCESS,1
3.78623,1,5,6,START,0
3.78802,1,5,6,SUCCESS,1
3.7956,16,6,7,START,0
3.79727,16,6,7,SUCCESS,1
3.80248,17,7,8,START,0
3.80427,17,7,8,SUCCESS,1
3.90123,2,2,7,START,0
3.90302,2,2,7,SUCCESS,1
4.30625,20,8,2,START,0
4.30802,20,8,2,SUCCESS,1
4.35548,14,6,5,START,0
4.35727,14,6,5,SUCCESS,1
4.65398,4,3,4,START,0
4.65577,4,3,4,SUCCESS,1
5.901,13,5,6,START,0
5.90277,13,5,6,SUCCESS,1
6.15798,12,5,4,START,0
6.15977,12,5,4,SUCCESS,1
6.56173,18,7,2,START,0
6.56352,18,7,2,SUCCESS,1
6.96098,19,7,6,START,0
6.96277,19,7,6,SUCCESS,1
7.41225,11,2,5,START,0
7.41402,11,2,5,SUCCESS,1
7.8008,15,7,8,START,0
7.80252,15,7,8,SUCCESS,1
7.95798,5,4,3,START,0
7.95977,5,4,3,SUCCESS,1
8.15423,9,2,6,START,0
8.15602,9,2,6,SUCCESS,1
8.664,7,2,8,START,0
8.66577,7,2,8,SUCCESS,1
8.67302,6,8,7,START,0
8.67477,6,8,7,SUCCESS,1
8.75598,1,6,5,START,0
8.75777,1,6,5,SUCCESS,1
8.853,17,8,2,START,0
8.85477,17,8,2,SUCCESS,1
9.004,2,7,6,START,0
9.00577,2,7,6,SUCCESS,1
9.25925,20,2,8,START,0
9.26102,20,2,8,SUCCESS,1
9.35198,8,6,5,START,0
9.35377,8,6,5,SUCCESS,1
9.60823,4,4,3,START,0
9.61002,4,4,3,SUCCESS,1
10.0545,10,3,2,START,0
10.0563,10,3,2,SUCCESS,1
10.2017,3,6,5,START,0
10.2035,3,6,5,SUCCESS,1
10.6568,16,7,8,START,0
10.6585,16,7,8,SUCCESS,1
11.4052,12,4,2,START,0
11.407,12,4,2,SUCCESS,1
12.0562,19,6,5,START,0
12.058,19,6,5,SUCCESS,1
12.6528,18,2,7,START,0
12.6545,18,2,7,SUCCESS,1
13.253,9,6,7,START,0
13.2548,9,6,7,SUCCESS,1
13.7542,6,7,8,START,0
13.756,6,7,8,SUCCESS,1
13.9557,17,2,7,START,0
13.9575,17,2,7,SUCCESS,1
14.056,7,8,7,START,0
14.0578,7,8,7,SUCCESS,1
14.3527,5,3,2,START,0
14.3545,5,3,2,SUCCESS,1
14.453,8,5,6,START,0
14.4548,8,5,6,SUCCESS,1
14.7032,4,3,8,START,0
14.705,4,3,8,SUCCESS,1
14.7587,11,5,2,START,0
14.7605,11,5,2,SUCCESS,1
15.1685,10,2,6,START,0
15.1703,10,2,6,SUCCESS,1
15.3028,2,6,7,START,0
15.3045,2,6,7,SUCCESS,1
15.6505,16,8,7,START,0
15.6523,16,8,7,SUCCESS,1
16.3537,12,2,3,START,0
16.3555,12,2,3,SUCCESS,1
16.4057,3,5,2,START,0
16.4075,3,5,2,SUCCESS,1
17.3566,15,8,2,START,0
17.3583,15,8,2,SUCCESS,1
17.7067,18,7,8,START,0
17.7085,18,7,8,SUCCESS,1
17.7562,20,8,7,START,0
17.7578,20,8,7,SUCCESS,1
18.9648,9,7,6,START,0
18.9665,9,7,6,SUCCESS,1
19.157,19,5,6,START,0
19.1588,19,5,6,SUCCESS,1
19.3503,1,5,6,START,0
19.352,1,5,6,SUCCESS,1
19.454,8,6,4,START,0
19.4558,8,6,4,SUCCESS,1
19.5025,7,7,2,START,0
19.5043,7,7,2,SUCCESS,1
19.706,11,2,8,START,0
19.7078,11,2,8,SUCCESS,1
19.7513,17,7,8,START,0
19.753,17,7,8,SUCCESS,1
19.915,4,8,7,START,0
19.9168,4,8,7,SUCCESS,1
20.2122,10,6,5,START,0
20.2138,10,6,5,SUCCESS,1
20.303,2,7,6,START,0
20.3048,2,7,6,SUCCESS,1
20.854,14,5,4,START,0
20.8558,14,5,4,SUCCESS,1
21.405,12,3,2,START,0
21.4068,12,3,2,SUCCESS,1
21.7038,6,8,3,START,0
21.7055,6,8,3,SUCCESS,1
22.3578,15,2,5,START,0
22.3595,15,2,5,SUCCESS,1
22.857,18,8,2,START,0
22.8588,18,8,2,SUCCESS,1
23.253,16,7,8,START,0
23.2548,16,7,8,SUCCESS,1
23.9613,9,6,7,START,0
23.963,9,6,7,SUCCESS,1
24.2067,19,6,7,START,0
24.2085,19,6,7,SUCCESS,1
24.4082,1,6,5,START,0
24.41,1,6,5,SUCCESS,1
24.5508,7,2,8,START,0
24.5525,7,2,8,SUCCESS,1
24.8007,11,8,3,START,0
24.8025,11,8,3,SUCCESS,1
24.8087,17,8,7,START,0
24.8105,17,8,7,SUCCESS,1
24.9053,4,7,3,START,0
24.907,4,7,3,SUCCESS,1
24.9138,20,7,8,START,0
24.9155,20,7,8,SUCCESS,1
24.9585,8,4,5,START,0
24.9603,8,4,5,SUCCESS,1
25.2545,10,5,4,START,0
25.2563,10,5,4,SUCCESS,1
25.4035,5,2,7,START,0
25.4053,5,2,7,SUCCESS,1
26.704,6,3,8,START,0
26.7058,6,3,8,SUCCESS,1
26.7607,12,2,8,START,0
26.7625,12,2,8,SUCCESS,1
27.4565,15,5,6,START,0
27.4583,15,5,6,SUCCESS,1
27.5597,13,6,7,START,0
27.5615,13,6,7,SUCCESS,1
27.7545,14,4,5,START,0
27.7563,14,4,5,SUCCESS,1
27.9102,18,2,7,START,0
27.912,18,2,7,SUCCESS,1
29.007,9,7,8,START,0
29.0088,9,7,8,SUCCESS,1
29.313,19,7,6,START,0
29.3148,19,7,6,SUCCESS,1
29.6382,3,2,4,START,0
29.64,3,2,4,SUCCESS,1
29.8532,11,3,5,START,0
29.855,11,3,5,SUCCESS,1
29.9557,4,3,2,START,0
29.9575,4,3,2,SUCCESS,1
30.161,8,5,2,START,0
30.1628,8,5,2,SUCCESS,1
30.1703,20,8,7,START,0
30.172,20,8,7,SUCCESS,1
30.3032,10,4,3,START,0
30.305,10,4,3,SUCCESS,1
30.4547,5,7,2,START,0
30.4565,5,7,2,SUCCESS,1
31.7072,1,5,6,START,0
31.709,1,5,6,SUCCESS,1
31.753,12,8,2,START,0
31.7548,12,8,2,SUCCESS,1
31.8532,6,8,3,START,0
31.855,6,8,3,SUCCESS,1
32.5022,15,6,7,START,0
32.504,15,6,7,SUCCESS,1
32.7555,13,7,6,START,0
32.7573,13,7,6,SUCCESS,1
32.9537,18,7,2,START,0
32.9555,18,7,2,SUCCESS,1
34.3045,19,6,7,START,0
34.3063,19,6,7,SUCCESS,1
34.6567,3,4,2,START,0
34.6585,3,4,2,SUCCESS,1
34.7028,7,8,3,START,0
34.7045,7,8,3,SUCCESS,1
35.0555,4,2,5,START,0
35.0573,4,2,5,SUCCESS,1
35.158,8,2,3,START,0
35.1598,8,2,3,SUCCESS,1
35.401,10,3,8,START,0
35.4028,10,3,8,SUCCESS,1
35.9558,11,5,6,START,0
35.9575,11,5,6,SUCCESS,1
36.853,6,3,8,START,0
36.8548,6,3,8,SUCCESS,1
36.955,1,6,5,START,0
36.9568,1,6,5,SUCCESS,1
37.107,12,2,6,START,0
37.1088,12,2,6,SUCCESS,1
37.5115,14,5,2,START,0
37.5133,14,5,2,SUCCESS,1
37.5958,15,7,3,START,0
37.5975,15,7,3,SUCCESS,1
37.705,2,6,2,START,0
37.7068,2,6,2,SUCCESS,1
37.809,5,2,3,START,0
37.8108,5,2,3,SUCCESS,1
38.4145,16,8,3,START,0
38.4163,16,8,3,SUCCESS,1
39.7568,3,2,4,START,0
39.7585,3,2,4,SUCCESS,1
39.953,7,3,8,START,0
39.9548,7,3,8,SUCCESS,1
39.9618,13,6,7,START,0
39.9635,13,6,7,SUCCESS,1
40.0557,19,7,8,START,0
40.0575,19,7,8,SUCCESS,1
40.2572,8,3,6,START,0
40.259,8,3,6,SUCCESS,1
44.7135,14,2,5,START,0
44.7153,14,2,5,SUCCESS,1
47.949,12,6,8,START,0
47.9508,12,6,8,SUCCESS,1
48.008,15,3,4,START,0
48.0098,15,3,4,SUCCESS,1
48.0395,3,4,5,START,0
48.0413,3,4,5,SUCCESS,1
48.0564,1,5,6,START,0
48.058,1,5,6,SUCCESS,1
48.0595,4,5,4,START,0
48.0613,4,5,4,SUCCESS,1
48.0702,8,6,5,START,0
48.072,8,6,5,SUCCESS,1
48.0812,11,6,8,START,0
48.083,11,6,8,SUCCESS,1
48.0905,6,8,6,START,0
48.0923,6,8,6,SUCCESS,1
48.1002,9,8,5,START,0
48.102,9,8,5,SUCCESS,1
51.0088,18,2,6,START,0
51.0105,18,2,6,SUCCESS,1
51.1295,19,8,4,START,0
51.1313,19,8,4,SUCCESS,1
51.1593,2,2,7,START,0
51.1604,5,3,4,START,0
51.161,2,2,7,SUCCESS,1
51.162,5,3,4,SUCCESS,1
51.169,16,3,2,START,0
51.1708,16,3,2,SUCCESS,1
51.1787,17,7,2,START,0
51.1805,17,7,2,SUCCESS,1
51.213,10,8,6,START,0
51.2148,10,8,6,SUCCESS,1
51.505,12,8,2,START,0
51.5068,12,8,2,SUCCESS,1
52.2068,14,5,6,START,0
52.2085,14,5,6,SUCCESS,1
53.0615,4,4,5,START,0
53.0628,15,4,6,START,0
53.0633,4,4,5,SUCCESS,1
53.0645,15,4,6,SUCCESS,1
53.1612,3,5,4,START,0
53.1627,8,5,4,START,0
53.163,3,5,4,SUCCESS,1
53.1645,8,5,4,SUCCESS,1
53.1678,9,5,6,START,0
53.1695,9,5,6,SUCCESS,1
55.3635,6,6,5,START,0
55.3653,6,6,5,SUCCESS,1
55.8547,7,8,3,START,0
55.8565,7,8,3,SUCCESS,1
55.9547,13,7,6,START,0
55.9565,13,7,6,SUCCESS,1
56.0535,19,4,2,START,0
56.0553,19,4,2,SUCCESS,1
56.0613,18,6,5,START,0
56.063,18,6,5,SUCCESS,1
56.153,11,8,3,START,0
56.1548,11,8,3,SUCCESS,1
56.2015,16,2,5,START,0
56.2033,16,2,5,SUCCESS,1
56.211,17,2,7,START,0
56.2128,17,2,7,SUCCESS,1
56.3125,10,6,7,START,0
56.3143,10,6,7,SUCCESS,1
56.4065,2,7,2,START,0
56.4083,2,7,2,SUCCESS,1
56.5578,12,2,7,START,0
56.5595,12,2,7,SUCCESS,1
58.1167,15,6,7,START,0
58.1185,15,6,7,SUCCESS,1
58.252,3,4,2,START,0
58.2538,3,4,2,SUCCESS,1
58.4078,9,6,7,START,0
58.4095,9,6,7,SUCCESS,1
58.5043,14,6,5,START,0
58.506,14,6,5,SUCCESS,1
58.5528,1,6,5,START,0
58.5545,1,6,5,SUCCESS,1
59.1115,8,4,5,START,0
59.1133,8,4,5,SUCCESS,1
60.91,7,3,8,START,0
60.9118,7,3,8,SUCCESS,1
61.0132,13,6,7,START,0
61.015,13,6,7,SUCCESS,1
61.1075,19,2,3,START,0
61.1093,19,2,3,SUCCESS,1
61.2096,11,3,8,START,0
61.2113,11,3,8,SUCCESS,1
61.355,10,7,3,START,0
61.3568,10,7,3,SUCCESS,1
61.515,4,5,4,START,0
61.5168,4,5,4,SUCCESS,1
61.617,12,7,2,START,0
61.6188,12,7,2,SUCCESS,1
61.9048,16,5,6,START,0
61.9065,16,5,6,SUCCESS,1
63.1595,15,7,8,START,0
63.1613,15,7,8,SUCCESS,1
63.3058,18,5,6,START,0
63.3075,18,5,6,SUCCESS,1
63.407,3,2,3,START,0
63.4088,3,2,3,SUCCESS,1
63.453,5,4,3,START,0
63.4548,5,4,3,SUCCESS,1
66.1462,2,2,5,START,0
66.147,9,7,8,START,0
66.148,2,2,5,SUCCESS,1
66.1488,9,7,8,SUCCESS,1
66.5052,10,3,4,START,0
66.507,10,3,4,SUCCESS,1
66.6002,4,4,2,START,0
66.602,4,4,2,SUCCESS,1
66.6563,7,8,3,START,0
66.658,7,8,3,SUCCESS,1
66.7095,12,2,6,START,0
66.7113,12,2,6,SUCCESS,1
66.9569,16,6,5,START,0
66.9585,16,6,5,SUCCESS,1
67.166,11,8,7,START,0
67.1678,11,8,7,SUCCESS,1
67.6522,19,3,4,START,0
67.654,19,3,4,SUCCESS,1
67.9613,8,5,6,START,0
67.963,8,5,6,SUCCESS,1
68.1585,14,5,6,START,0
68.1603,14,5,6,SUCCESS,1
68.4032,18,6,5,START,0
68.405,18,6,5,SUCCESS,1
68.708,3,3,2,START,0
68.7098,3,3,2,SUCCESS,1
73.861,6,5,2,START,0
73.8628,6,5,2,SUCCESS,1
77.377,4,2,3,START,0
77.3788,4,2,3,SUCCESS,1
77.3882,10,4,3,START,0
77.39,10,4,3,SUCCESS,1
77.3908,19,4,5,START,0
77.3925,19,4,5,SUCCESS,1
77.395,2,5,6,START,0
77.395,16,5,6,START,0
77.3968,2,5,6,SUCCESS,1
77.3968,16,5,6,SUCCESS,1
77.3978,18,5,2,START,0
77.3995,18,5,2,SUCCESS,1
77.554,8,6,2,START,0
77.5558,8,6,2,SUCCESS,1
77.5645,12,6,5,START,0
77.5663,12,6,5,SUCCESS,1
77.5712,14,6,5,START,0
77.573,14,6,5,SUCCESS,1
77.5808,11,7,8,START,0
77.5825,11,7,8,SUCCESS,1
77.6168,3,2,4,START,0
77.6185,3,2,4,SUCCESS,1
77.7013,9,8,2,START,0
77.703,9,8,2,SUCCESS,1
77.7565,13,7,6,START,0
77.7583,13,7,6,SUCCESS,1
78.152,15,8,2,START,0
78.1538,15,8,2,SUCCESS,1
78.2077,5,3,4,START,0
78.2095,5,3,4,SUCCESS,1
79.3555,1,5,4,START,0
79.3573,1,5,4,SUCCESS,1
80.7528,6,2,6,START,0
80.7545,6,2,6,SUCCESS,1
81.004,7,3,4,START,0
81.0058,7,3,4,SUCCESS,1
82.253,17,7,8,START,0
82.2548,17,7,8,SUCCESS,1
82.5078,10,3,8,START,0
82.5095,10,3,8,SUCCESS,1
82.7083,2,6,5,START,0
82.71,2,6,5,SUCCESS,1
82.8085,14,5,4,START,0
82.8085,8,2,5,START,0
82.8085,9,2,7,START,0
82.8103,9,2,7,SUCCESS,1
82.8103,14,5,4,SUCCESS,1
82.8103,8,2,5,SUCCESS,1
82.8127,4,3,4,START,0
82.8145,4,3,4,SUCCESS,1
83.3032,15,2,5,START,0
83.3048,15,2,5,SUCCESS,1
83.41,13,6,7,START,0
83.4118,13,6,7,SUCCESS,1
85.4627,5,4,3,START,0
85.4645,5,4,3,SUCCESS,1
85.8142,16,6,2,START,0
85.8158,16,6,2,SUCCESS,1
86.701,12,5,4,START,0
86.7028,12,5,4,SUCCESS,1
87.3598,3,4,2,START,0
87.3615,3,4,2,SUCCESS,1
87.5018,7,4,5,START,0
87.5035,7,4,5,SUCCESS,1
87.8675,19,5,7,START,0
87.8693,19,5,7,SUCCESS,1
87.8775,11,8,5,START,0
87.8793,11,8,5,SUCCESS,1
87.896,6,6,7,START,0
87.8978,6,6,7,SUCCESS,1
87.9022,14,4,5,START,0
87.904,14,4,5,SUCCESS,1
87.9048,8,5,6,START,0
87.9065,8,5,6,SUCCESS,1
87.913,9,7,6,START,0
87.9148,9,7,6,SUCCESS,1
87.9637,17,8,7,START,0
87.9655,17,8,7,SUCCESS,1
88.0004,4,4,5,START,0
88.002,4,4,5,SUCCESS,1
88.2575,8,6,7,START,0
88.2593,8,6,7,SUCCESS,1
88.5533,13,7,6,START,0
88.555,13,7,6,SUCCESS,1
89.0527,2,5,6,START,0
89.0545,2,5,6,SUCCESS,1
90.8038,16,2,7,START,0
90.8055,16,2,7,SUCCESS,1
90.853,15,5,4,START,0
90.8548,15,5,4,SUCCESS,1
91.3062,1,4,2,START,0
91.308,1,4,2,SUCCESS,1
92.7248,10,8,3,START,0
92.7265,10,8,3,SUCCESS,1
92.856,3,2,4,START,0
92.8578,3,2,4,SUCCESS,1
92.8652,11,5,6,START,0
92.867,11,5,6,SUCCESS,1
92.8732,19,7,6,START,0
92.875,19,7,6,SUCCESS,1
93.0008,9,6,5,START,0
93.0025,9,6,5,SUCCESS,1
93.1033,4,5,6,START,0
93.105,4,5,6,SUCCESS,1
94.1075,2,6,5,START,0
94.1093,2,6,5,SUCCESS,1
94.6595,5,3,8,START,0
94.6613,5,3,8,SUCCESS,1
95.0573,13,6,7,START,0
95.059,13,6,7,SUCCESS,1
95.257,8,7,2,START,0
95.2588,8,7,2,SUCCESS,1
95.504,7,5,6,START,0
95.5058,7,5,6,SUCCESS,1
95.7553,12,4,5,START,0
95.757,12,4,5,SUCCESS,1
96.4055,1,2,5,START,0
96.4073,1,2,5,SUCCESS,1
97.7108,14,5,6,START,0
97.7125,14,5,6,SUCCESS,1
97.8538,10,3,5,START,0
97.8555,10,3,5,SUCCESS,1
97.9515,19,6,7,START,0
97.9533,19,6,7,SUCCESS,1
98.0565,9,5,4,START,0
98.0583,9,5,4,SUCCESS,1
98.2032,4,6,7,START,0
98.205,4,6,7,SUCCESS,1
98.757,16,7,6,START,0
98.7588,16,7,6,SUCCESS,1
