timestamp,id,x,y,type,cell,simid
1769212807210,1,380,300,mc,1,1769212807210
1769212807210,2,530,310,mc,1,1769212807210
1769212807210,3,680,320,mc,1,1769212807210
1769212807210,4,400,300,mc,1,1769212807210
1769212807210,5,550,310,mc,1,1769212807210
1769212807210,6,700,320,mc,1,1769212807210
1769212807210,7,420,300,mc,1,1769212807210
1769212807210,8,570,310,mc,1,1769212807210
1769212807210,9,720,320,mc,1,1769212807210
1769212807210,10,440,300,mc,1,1769212807210
1769212807310,1,382,300,mc,4,1769212807210
1769212807310,2,532.5,310,mc,5,1769212807210
1769212807310,3,683,320,mc,6,1769212807210
1769212807310,4,402,300,mc,4,1769212807210
1769212807310,5,552.5,310,mc,5,1769212807210
1769212807310,6,703,320,mc,6,1769212807210
1769212807310,7,422,300,mc,4,1769212807210
1769212807310,8,572.5,310,mc,5,1769212807210
1769212807310,9,723,320,mc,6,1769212807210
1769212807310,10,442,300,mc,1,1769212807210
1769212807410,1,384,300,mc,4,1769212807210
1769212807410,2,535,310,mc,5,1769212807210
1769212807410,3,686,320,mc,6,1769212807210
1769212807410,4,404,300,mc,4,1769212807210
1769212807410,5,555,310,mc,5,1769212807210
1769212807410,6,706,320,mc,6,1769212807210
1769212807410,7,424,300,mc,4,1769212807210
1769212807410,8,575,310,mc,5,1769212807210
1769212807410,9,726,320,mc,6,1769212807210
1769212807410,10,444,300,mc,1,1769212807210
1769212807510,1,386,300,mc,4,1769212807210
1769212807510,2,537.5,310,mc,5,1769212807210
1769212807510,3,689,320,mc,6,1769212807210
1769212807510,4,406,300,mc,4,1769212807210
1769212807510,5,557.5,310,mc,5,1769212807210
1769212807510,6,709,320,mc,6,1769212807210
1769212807510,7,426,300,mc,4,1769212807210
1769212807510,8,577.5,310,mc,5,1769212807210
1769212807510,9,729,320,mc,6,1769212807210
1769212807510,10,446,300,mc,1,1769212807210
1769212807610,1,388,300,mc,4,1769212807210
1769212807610,2,540,310,mc,5,1769212807210
1769212807610,3,692,320,mc,6,1769212807210
1769212807610,4,408,300,mc,4,1769212807210
1769212807610,5,560,310,mc,5,1769212807210
1769212807610,6,712,320,mc,6,1769212807210
1769212807610,7,428,300,mc,4,1769212807210
1769212807610,8,580,310,mc,5,1769212807210
1769212807610,9,732,320,mc,6,1769212807210
1769212807610,10,448,300,mc,1,1769212807210
1769212807710,1,390,300,mc,4,1769212807210
1769212807710,2,542.5,310,mc,5,1769212807210
1769212807710,3,695,320,mc,6,1769212807210
1769212807710,4,410,300,mc,4,1769212807210
1769212807710,5,562.5,310,mc,5,1769212807210
1769212807710,6,715,320,mc,6,1769212807210
1769212807710,7,430,300,mc,4,1769212807210
1769212807710,8,582.5,310,mc,5,1769212807210
1769212807710,9,735,320,mc,6,1769212807210
1769212807710,10,450,300,mc,1,1769212807210
1769212807810,1,392,300,mc,4,1769212807210
1769212807810,2,545,310,mc,5,1769212807210
1769212807810,3,698,320,mc,6,1769212807210
1769212807810,4,412,300,mc,4,1769212807210
1769212807810,5,565,310,mc,5,1769212807210
1769212807810,6,718,320,mc,6,1769212807210
1769212807810,7,432,300,mc,4,1769212807210
1769212807810,8,585,310,mc,5,1769212807210
1769212807810,9,738,320,mc,6,1769212807210
1769212807810,10,452,300,mc,1,1769212807210
1769212807910,1,394,300,mc,4,1769212807210
1769212807910,2,547.5,310,mc,5,1769212807210
1769212807910,3,701,320,mc,6,1769212807210
1769212807910,4,414,300,mc,4,1769212807210
1769212807910,5,567.5,310,mc,5,1769212807210
1769212807910,6,721,320,mc,6,1769212807210
1769212807910,7,434,300,mc,4,1769212807210
1769212807910,8,587.5,310,mc,5,1769212807210
1769212807910,9,741,320,mc,6,1769212807210
1769212807910,10,454,300,mc,1,1769212807210
1769212808010,1,396,300,mc,4,1769212807210
1769212808010,2,550,310,mc,5,1769212807210
1769212808010,3,704,320,mc,6,1769212807210
1769212808010,4,416,300,mc,4,1769212807210
1769212808010,5,570,310,mc,5,1769212807210
1769212808010,6,724,320,mc,6,1769212807210
1769212808010,7,436,300,mc,4,1769212807210
1769212808010,8,590,310,mc,5,1769212807210
1769212808010,9,744,320,mc,6,1769212807210
1769212808010,10,456,300,mc,1,1769212807210
1769212808110,1,398,300,mc,4,1769212807210
1769212808110,2,552.5,310,mc,5,1769212807210
1769212808110,3,707,320,mc,6,1769212807210
1769212808110,4,418,300,mc,4,1769212807210
1769212808110,5,572.5,310,mc,5,1769212807210
1769212808110,6,727,320,mc,6,1769212807210
1769212808110,7,438,300,mc,4,1769212807210
1769212808110,8,592.5,310,mc,5,1769212807210
1769212808110,9,747,320,mc,6,1769212807210
1769212808110,10,458,300,mc,1,1769212807210
1769212808210,1,400,300,mc,4,1769212807210
1769212808210,2,555,310,mc,5,1769212807210
1769212808210,3,710,320,mc,6,1769212807210
1769212808210,4,420,300,mc,4,1769212807210
1769212808210,5,575,310,mc,5,1769212807210
1769212808210,6,730,320,mc,6,1769212807210
1769212808210,7,440,300,mc,4,1769212807210
1769212808210,8,595,310,mc,5,1769212807210
1769212808210,9,750,320,mc,6,1769212807210
1769212808210,10,460,300,mc,1,1769212807210
1769212808310,1,402,300,mc,4,1769212807210
1769212808310,2,557.5,310,mc,5,1769212807210
1769212808310,3,713,320,mc,6,1769212807210
1769212808310,4,422,300,mc,4,1769212807210
1769212808310,5,577.5,310,mc,5,1769212807210
1769212808310,6,733,320,mc,6,1769212807210
1769212808310,7,442,300,mc,4,1769212807210
1769212808310,8,597.5,310,mc,5,1769212807210
1769212808310,9,753,320,mc,6,1769212807210
1769212808310,10,462,300,mc,1,1769212807210
