SessionID,ElapsedTime,Node,CellID,Level,SNR,Qual,CQI,SecondCell_RSRP,SecondCell_SNR,NRxLev1,NQual1,Speed,DL_bitrate,UL_bitrate,BANDWIDTH,Bearing,RSRQ,Event
7,6.6,15,6,-85.5241,18,-99.5241,13,-95.5241,13,54.4759,-56.5241,60,0.24,0,100,270,-99.5241
8,6.7,16,6,-120,14,-134,11,-130,9,20,-91,65,0.08,0,100,270,-134
9,6.8,17,6,-120,5,-137,7,-130,0,20,-94,70,0,0,100,270,-137
10,6.9,18,6,-113.759,10,-129.759,9,-123.759,5,26.2406,-86.7594,60,0,0,100,270,-129.759
1,7,9,6,-96.6992,11,-111.699,11,-106.699,6,43.3008,-68.6992,60,0.4,0,100,270,-111.699
2,7.1,10,6,-77.8783,20,-91.8783,13,-87.8783,15,62.1217,-48.8783,65,0.4,0,100,270,-91.8783
3,7.2,11,6,-100.611,6,-115.611,9,-110.611,1,39.3892,-72.6108,70,0.4,0,100,270,-115.611
4,7.3,12,6,-90.6505,13,-107.651,11,-100.651,8,49.3495,-64.6505,60,0.4,0,100,270,-107.651
5,7.4,13,6,-103.688,6,-117.688,9,-113.688,1,36.3119,-74.6881,65,0.4,0,100,270,-117.688
6,7.5,14,6,-120,5,-133,7,-130,0,20,-90,70,0.392,0,100,270,-133
7,7.6,15,6,-108.707,9,-124.707,9,-118.707,4,31.2926,-81.7074,60,0.4,0,100,270,-124.707
8,7.7,16,6,-115.547,11,-132.547,11,-125.547,6,24.4528,-89.5472,65,0.4,0,100,270,-132.547
9,7.8,17,6,-120,12,-135,11,-130,7,20,-92,70,0.304,0,100,270,-135
10,7.9,18,6,-109.379,11,-124.379,11,-119.379,6,30.6205,-81.3795,60,0.16,0,100,270,-124.379
1,8,9,6,-94.6992,12,-111.699,11,-104.699,7,45.3008,-68.6992,60,0.4,0,100,270,-111.699
2,8.1,10,6,-99.809,12,-116.809,11,-109.809,7,40.191,-73.809,65,0.392,0,100,270,-116.809
3,8.2,11,6,-114.465,13,-127.465,11,-124.465,8,25.5351,-84.4649,70,0.392,0,100,270,-127.465
4,8.3,12,6,-108.057,12,-125.057,11,-118.057,7,31.9431,-82.0569,60,0.4,0,100,270,-125.057
3,8.30721,2,5,-90.2327,13,-103.233,11,-100.233,8,49.7673,-60.2327,70,0,0,100,0,-103.233,SECONDARY_CHANGE
7,8.30721,6,5,-83.6827,11,-98.6827,11,-93.6827,6,56.3173,-55.6827,60,0,0,100,0,-98.6827,SECONDARY_CHANGE
5,8.4,13,6,-110.561,11,-125.561,11,-120.561,6,29.4393,-82.5607,65,0.28,0,100,270,-125.561
6,8.5,14,6,-108.939,8,-121.939,9,-118.939,3,31.0608,-78.9392,70,0.368,0,100,270,-121.939
5,8.50721,4,5,-87.3447,16,-101.345,13,-97.3447,11,52.6553,-58.3447,65,0,0,100,0,-101.345,SECONDARY_CHANGE
7,8.6,15,5,-66.0721,28,-82.0721,15,-76.0721,23,73.9279,-39.0721,60,0.272,0,100,270,-82.0721
8,8.7,16,6,-101.625,14,-113.625,11,-111.625,9,38.3748,-70.6252,65,0.392,0,100,270,-113.625
9,8.8,17,6,-120,11,-137,11,-130,6,20,-94,70,0.288,0,100,270,-137
10,8.9,18,6,-95.4706,5,-110.471,7,-105.471,0,44.5294,-67.4706,60,0.392,0,100,270,-110.471
4,8.90721,3,5,-91.2689,14,-105.269,11,-101.269,9,48.7311,-62.2689,60,0,0,100,0,-105.269,SECONDARY_CHANGE
1,9,9,6,-111.398,9,-128.398,9,-121.398,4,28.6015,-85.3985,60,0.392,0,100,270,-128.398
2,9.1,10,6,-94.2522,14,-111.252,11,-104.252,9,45.7478,-68.2522,65,0.296,0,100,270,-111.252
2,9.10721,1,5,-89.9936,19,-105.994,13,-99.9936,14,50.0064,-62.9936,65,0,0,100,0,-105.994,SECONDARY_CHANGE
3,9.2,11,5,-101.948,9,-113.948,9,-111.948,4,38.0517,-70.9483,70,0.4,0,100,270,-113.948
4,9.3,12,5,-48.536,25,-63.536,15,-58.536,20,91.464,-20.536,60,0.296,0,100,270,-63.536
5,9.4,13,5,-97.8866,6,-111.887,9,-107.887,1,42.1134,-68.8866,65,0.392,0,100,270,-111.887
6,9.5,14,6,-91.9279,14,-103.928,11,-101.928,9,48.0721,-60.9279,70,0.392,0,100,270,-103.928
1,9.50721,0,5,-93.4783,13,-109.478,11,-103.478,8,46.5217,-66.4783,60,0,0,100,0,-109.478,SECONDARY_CHANGE
7,9.6,15,5,-106.187,6,-122.187,9,-116.187,1,33.8134,-79.1866,60,0.4,0,100,270,-122.187
8,9.7,16,6,-81.4015,11,-96.4015,11,-91.4015,6,58.5985,-53.4015,65,0.408,0,100,270,-96.4015
9,9.8,17,6,-120,13,-132,11,-130,8,20,-89,70,0.288,0,100,270,-132
10,9.9,18,6,-88.3074,16,-100.307,13,-98.3074,11,51.6926,-57.3074,60,0.4,0,100,270,-100.307
1,10,9,5,-41,22,-53,15,-51,17,99,-10,60,0.312,0,100,270,-53
2,10.1,10,5,-97.0606,11,-111.061,11,-107.061,6,42.9394,-68.0606,65,0.4,0,100,270,-111.061
3,10.2,11,5,-115.222,9,-129.222,9,-125.222,4,24.7779,-86.2221,70,0.376,0,100,270,-129.222
