timestamp,id,x,y,simid,ESstate,power
1769212807210,1,350,300,1769212807210,0,30
1769212807210,2,500,300,1769212807210,0,30
1769212807210,3,650,300,1769212807210,0,30
1769212807310,1,350,300,1769212807210,0,30
1769212807310,2,500,300,1769212807210,0,30
1769212807310,3,650,300,1769212807210,0,30
1769212807410,1,350,300,1769212807210,0,30
1769212807410,2,500,300,1769212807210,0,30
1769212807410,3,650,300,1769212807210,0,30
1769212807510,1,350,300,1769212807210,0,30
1769212807510,2,500,300,1769212807210,0,30
1769212807510,3,650,300,1769212807210,0,30
1769212807610,1,350,300,1769212807210,0,30
1769212807610,2,500,300,1769212807210,0,30
1769212807610,3,650,300,1769212807210,0,30
1769212807710,1,350,300,1769212807210,0,30
1769212807710,2,500,300,1769212807210,0,30
1769212807710,3,650,300,1769212807210,0,30
1769212807810,1,350,300,1769212807210,0,30
1769212807810,2,500,300,1769212807210,0,30
1769212807810,3,650,300,1769212807210,0,30
1769212807910,1,350,300,1769212807210,0,30
1769212807910,2,500,300,1769212807210,0,30
1769212807910,3,650,300,1769212807210,0,30
1769212808010,1,350,300,1769212807210,0,30
1769212808010,2,500,300,1769212807210,0,30
1769212808010,3,650,300,1769212807210,0,30
1769212808110,1,350,300,1769212807210,0,30
1769212808110,2,500,300,1769212807210,0,30
1769212808110,3,650,300,1769212807210,0,30
1769212808210,1,350,300,1769212807210,0,30
1769212808210,2,500,300,1769212807210,0,30
1769212808210,3,650,300,1769212807210,0,30
1769212808310,1,350,300,1769212807210,0,30
1769212808310,2,500,300,1769212807210,0,30
1769212808310,3,650,300,1769212807210,0,30
