SessionID,ElapsedTime,Node,CellID,Level,SNR,Qual,CQI,SecondCell_RSRP,SecondCell_SNR,NRxLev1,NQual1,Speed,DL_bitrate,UL_bitrate,BANDWIDTH,Bearing,RSRQ
9,26.8,17,1,-93.0567,5,-106.057,7,-103.057,0,46.9433,-63.0567,30,0.4,0,100,90,-106.057
10,26.9,18,2,-80.9345,16,-93.9345,13,-90.9345,11,59.0655,-50.9345,20,0.392,0,100,270,-93.9345
1,27,9,3,-77,15,-94,11,-87,10,63,-51,20,0.392,0,100,270,-94
2,27.1,10,1,-94.4031,9,-106.403,9,-104.403,4,45.5969,-63.4031,25,0.4,0,100,90,-106.403
3,27.2,11,2,-100.515,8,-115.515,9,-110.515,3,39.485,-72.515,30,0.4,0,100,90,-115.515
4,27.3,12,2,-89.5241,13,-102.524,11,-99.5241,8,50.4759,-59.5241,20,0.392,0,100,270,-102.524
5,27.4,13,1,-84.958,15,-97.958,11,-94.958,10,55.042,-54.958,25,0.4,0,100,90,-97.958
6,27.5,14,1,-114.55,8,-126.55,9,-124.55,3,25.4501,-83.5499,30,0.384,0,100,90,-126.55
7,27.6,15,2,-92.6802,10,-106.68,9,-102.68,5,47.3198,-63.6802,20,0.4,0,100,270,-106.68
8,27.7,16,1,-78.1516,15,-91.1516,11,-88.1516,10,61.8484,-48.1516,25,0.4,0,100,90,-91.1516
9,27.8,17,1,-83.8341,13,-97.8341,11,-93.8341,8,56.1659,-54.8341,30,0.4,0,100,90,-97.8341
10,27.9,18,2,-93.2924,6,-105.292,9,-103.292,1,46.7076,-62.2924,20,0.408,0,100,270,-105.292
1,28,9,3,-91.6992,11,-103.699,11,-101.699,6,48.3008,-60.6992,20,0.4,0,100,270,-103.699
2,28.1,10,1,-85.6539,18,-97.6539,13,-95.6539,13,54.3461,-54.6539,25,0.4,0,100,90,-97.6539
3,28.2,11,2,-108.352,7,-120.352,9,-118.352,2,31.6483,-77.3517,30,0.4,0,100,90,-120.352
4,28.3,12,2,-97.1965,6,-110.197,9,-107.197,1,42.8035,-67.1965,20,0.4,0,100,270,-110.197
5,28.4,13,1,-85.268,12,-99.268,11,-95.268,7,54.732,-56.268,25,0.4,0,100,90,-99.268
6,28.5,14,2,-90.6877,5,-102.688,7,-100.688,0,49.3123,-59.6877,30,0.344,0,100,90,-102.688
7,28.6,15,2,-102.06,13,-116.06,11,-112.06,8,37.9399,-73.0601,20,0.4,0,100,270,-116.06
8,28.7,16,1,-100.613,12,-117.613,11,-110.613,7,39.3868,-74.6132,25,0.392,0,100,90,-117.613
9,28.8,17,1,-100.86,8,-112.86,9,-110.86,3,39.1398,-69.8602,30,0.4,0,100,90,-112.86
10,28.9,18,2,-102.72,7,-115.72,9,-112.72,2,37.28,-72.72,20,0.4,0,100,270,-115.72
1,29,9,3,-97.464,7,-111.464,9,-107.464,2,42.536,-68.464,20,0.4,0,100,270,-111.464
2,29.1,10,1,-78.3919,19,-90.3919,13,-88.3919,14,61.6081,-47.3919,25,0.408,0,100,90,-90.3919
3,29.2,11,2,-110.702,13,-125.702,11,-120.702,8,29.2976,-82.7024,30,0.384,0,100,90,-125.702
4,29.3,12,2,-102.684,13,-116.684,11,-112.684,8,37.316,-73.684,20,0.4,0,100,270,-116.684
5,29.4,13,1,-90.6388,7,-104.639,9,-100.639,2,49.3612,-61.6388,25,0.4,0,100,90,-104.639
6,29.5,14,2,-87.9968,18,-104.997,13,-97.9968,13,52.0032,-61.9968,30,0.4,0,100,90,-104.997
7,29.6,15,2,-107.007,7,-121.007,9,-117.007,2,32.9934,-78.0066,20,0.4,0,100,270,-121.007
8,29.7,16,1,-106.048,10,-118.048,9,-116.048,5,33.9521,-75.0479,25,0.4,0,100,90,-118.048
9,29.8,17,1,-107.924,10,-124.924,9,-117.924,5,32.0755,-81.9245,30,0.4,0,100,90,-124.924
10,29.9,18,2,-104.223,11,-117.223,11,-114.223,6,35.7767,-74.2233,20,0.392,0,100,270,-117.223
1,30,9,3,-100.578,6,-116.578,9,-110.578,1,39.4216,-73.5784,20,0.4,0,100,270,-116.578
2,30.1,10,1,-93.3205,8,-106.321,9,-103.321,3,46.6795,-63.3205,25,0.392,0,100,270,-106.321
3,30.2,11,3,-90.3154,13,-105.315,11,-100.315,8,49.6846,-62.3154,30,0.392,0,100,90,-105.315
4,30.3,12,2,-106.707,5,-119.707,7,-116.707,0,33.2926,-76.7074,20,0.392,0,100,270,-119.707
5,30.4,13,1,-103.444,9,-115.444,9,-113.444,4,36.5565,-72.4435,25,0.4,0,100,90,-115.444
6,30.5,14,2,-93.1899,11,-108.19,11,-103.19,6,46.8101,-65.1899,30,0.4,0,100,90,-108.19
7,30.6,15,2,-105.733,7,-122.733,9,-115.733,2,34.2674,-79.7326,20,0.4,0,100,270,-122.733
8,30.7,16,1,-112.069,14,-127.069,11,-122.069,9,27.9311,-84.0689,25,0.4,0,100,90,-127.069
9,30.8,17,1,-108.396,11,-120.396,11,-118.396,6,31.604,-77.396,30,0.4,0,100,90,-120.396
10,30.9,18,1,-101.06,14,-114.06,11,-111.06,9,38.9399,-71.0601,20,0.376,0,100,270,-114.06
1,31,9,3,-113.398,14,-129.398,11,-123.398,9,26.6015,-86.3985,20,0.392,0,100,270,-129.398
2,31.1,10,1,-77.4608,19,-94.4608,13,-87.4608,14,62.5392,-51.4608,25,0.408,0,100,270,-94.4608
3,31.2,11,3,-83.191,16,-100.191,13,-93.191,11,56.809,-57.191,30,0.4,0,100,90,-100.191
4,31.3,12,1,-95.5208,8,-112.521,9,-105.521,3,44.4792,-69.5208,20,0.376,0,100,270,-112.521
5,31.4,13,1,-105.634,7,-122.634,9,-115.634,2,34.3659,-79.6341,25,0.4,0,100,90,-122.634
6,31.5,14,2,-107.139,10,-120.139,9,-117.139,5,32.8605,-77.1395,30,0.4,0,100,90,-120.139
7,31.6,15,1,-100.292,5,-113.292,7,-110.292,0,39.7076,-70.2924,20,0.384,0,100,270,-113.292
8,31.7,16,2,-96.6132,6,-108.613,9,-106.613,1,43.3868,-65.6132,25,0.376,0,100,90,-108.613
9,31.8,17,2,-95.0567,9,-110.057,9,-105.057,4,44.9433,-67.0567,30,0.392,0,100,90,-110.057
10,31.9,18,1,-96.6802,8,-109.68,9,-106.68,3,43.3198,-66.6802,20,0.392,0,100,270,-109.68
1,32,9,2,-101.072,7,-118.072,9,-111.072,2,38.9279,-75.0721,20,0.392,0,100,270,-118.072
2,32.1,10,1,-92.6964,10,-107.696,9,-102.696,5,47.3036,-64.6964,25,0.392,0,100,270,-107.696
