time_sec,cell_id,prb_util_pct,ue_count,load_variance,avg_dl_throughput_bps,cdr
1,2,85.7143,8,24.469,11481.6,0
1,3,100,2,24.469,11481.6,0
1,4,100,2,24.469,11481.6,0
1,5,96.4286,3,24.469,11481.6,0
1,6,100,2,24.469,11481.6,0
1,7,100,2,24.469,11481.6,0
1,8,100,1,24.469,11481.6,0
2,2,89.2857,5,12.4948,20224,0
2,3,100,2,12.4948,20224,0
2,4,100,2,12.4948,20224,0
2,5,96.4286,3,12.4948,20224,0
2,6,96.4286,3,12.4948,20224,0
2,7,96.4286,3,12.4948,20224,0
2,8,100,2,12.4948,20224,0
3,2,100,4,3.1237,20224,0
3,3,100,2,3.1237,20224,0
3,4,96.4286,3,3.1237,20224,0
3,5,96.4286,3,3.1237,20224,0
3,6,96.4286,3,3.1237,20224,0
3,7,96.4286,3,3.1237,20224,0
3,8,100,2,3.1237,20224,0
4,2,100,4,3.1237,20224,0
4,3,96.4286,3,3.1237,20224,0
4,4,100,2,3.1237,20224,0
4,5,96.4286,3,3.1237,20224,0
4,6,96.4286,3,3.1237,20224,0
4,7,96.4286,3,3.1237,20224,0
4,8,100,2,3.1237,20224,0
5,2,96.4286,3,1.56185,20224,0
5,3,96.4286,3,1.56185,20224,0
5,4,100,2,1.56185,20224,0
5,5,96.4286,3,1.56185,20224,0
5,6,96.4286,3,1.56185,20224,0
5,7,96.4286,3,1.56185,20224,0
5,8,96.4286,3,1.56185,20224,0
6,2,96.4286,3,1.56185,20224,0
6,3,96.4286,3,1.56185,20224,0
6,4,96.4286,3,1.56185,20224,0
6,5,96.4286,3,1.56185,20224,0
6,6,96.4286,3,1.56185,20224,0
6,7,100,2,1.56185,20224,0
6,8,96.4286,3,1.56185,20224,0
7,2,96.4286,3,1.56185,20160,0
7,3,96.4286,3,1.56185,20160,0
7,4,96.4286,3,1.56185,20160,0
7,5,96.4286,3,1.56185,20160,0
7,6,96.4286,3,1.56185,20160,0
7,7,96.4286,3,1.56185,20160,0
7,8,100,2,1.56185,20160,0
8,2,96.4286,3,1.56185,20032,0
8,3,96.4286,3,1.56185,20032,0
8,4,96.4286,3,1.56185,20032,0
8,5,96.4286,3,1.56185,20032,0
8,6,96.4286,3,1.56185,20032,0
8,7,100,2,1.56185,20032,0
8,8,96.4286,3,1.56185,20032,0
9,2,96.4286,3,1.56185,20160,0
9,3,96.4286,3,1.56185,20160,0
9,4,96.4286,3,1.56185,20160,0
9,5,96.4286,3,1.56185,20160,0
9,6,96.4286,3,1.56185,20160,0
9,7,100,2,1.56185,20160,0
9,8,96.4286,3,1.56185,20160,0
10,2,96.4286,3,1.56185,20224,0
10,3,96.4286,3,1.56185,20224,0
10,4,96.4286,3,1.56185,20224,0
10,5,96.4286,3,1.56185,20224,0
10,6,96.4286,3,1.56185,20224,0
10,7,96.4286,3,1.56185,20224,0
10,8,100,2,1.56185,20224,0
11,2,96.4286,3,1.56185,20224,0
11,3,96.4286,3,1.56185,20224,0
11,4,96.4286,3,1.56185,20224,0
11,5,96.4286,3,1.56185,20224,0
11,6,96.4286,3,1.56185,20224,0
11,7,96.4286,3,1.56185,20224,0
11,8,100,2,1.56185,20224,0
12,2,96.4286,3,1.56185,20224,0
12,3,96.4286,3,1.56185,20224,0
12,4,96.4286,3,1.56185,20224,0
12,5,96.4286,3,1.56185,20224,0
12,6,96.4286,3,1.56185,20224,0
12,7,96.4286,3,1.56185,20224,0
12,8,100,2,1.56185,20224,0
13,2,96.4286,3,1.56185,20224,0
13,3,96.4286,3,1.56185,20224,0
13,4,96.4286,3,1.56185,20224,0
13,5,96.4286,3,1.56185,20224,0
13,6,96.4286,3,1.56185,20224,0
13,7,96.4286,3,1.56185,20224,0
13,8,100,2,1.56185,20224,0
14,2,96.4286,3,1.56185,20224,0
14,3,96.4286,3,1.56185,20224,0
14,4,96.4286,3,1.56185,20224,0
14,5,96.4286,3,1.56185,20224,0
14,6,96.4286,3,1.56185,20224,0
14,7,100,2,1.56185,20224,0
14,8,96.4286,3,1.56185,20224,0
15,2,96.4286,3,1.56185,20224,0
15,3,96.4286,3,1.56185,20224,0
15,4,96.4286,3,1.56185,20224,0
15,5,96.4286,3,1.56185,20224,0
15,6,96.4286,3,1.56185,20224,0
15,7,100,2,1.56185,20224,0
15,8,96.4286,3,1.56185,20224,0
16,2,96.4286,3,1.56185,20224,0
16,3,96.4286,3,1.56185,20224,0
16,4,96.4286,3,1.56185,20224,0
16,5,96.4286,3,1.56185,20224,0
16,6,96.4286,3,1.56185,20224,0
16,7,100,2,1.56185,20224,0
16,8,96.4286,3,1.56185,20224,0
17,2,96.4286,3,1.56185,20224,0
17,3,96.4286,3,1.56185,20224,0
17,4,96.4286,3,1.56185,20224,0
17,5,96.4286,3,1.56185,20224,0
17,6,96.4286,3,1.56185,20224,0
17,7,100,2,1.56185,20224,0
17,8,96.4286,3,1.56185,20224,0
18,2,96.4286,3,1.56185,19904,0
18,3,96.4286,3,1.56185,19904,0
18,4,96.4286,3,1.56185,19904,0
18,5,96.4286,3,1.56185,19904,0
18,6,96.4286,3,1.56185,19904,0
18,7,100,2,1.56185,19904,0
18,8,96.4286,3,1.56185,19904,0
19,2,96.4286,3,1.56185,20416,0
19,3,96.4286,3,1.56185,20416,0
19,4,96.4286,3,1.56185,20416,0
19,5,96.4286,3,1.56185,20416,0
19,6,96.4286,3,1.56185,20416,0
19,7,96.4286,3,1.56185,20416,0
19,8,100,2,1.56185,20416,0
