time_sec,ue_id,from_cell,to_cell,event,executed_ok
1.8585,10,4,3,START,0
1.86027,10,4,3,SUCCESS,1
2.20448,7,4,2,START,0
2.20627,7,4,2,SUCCESS,1
2.35423,5,3,4,START,0
2.35602,5,3,4,SUCCESS,1
2.50475,4,3,4,START,0
2.50652,4,3,4,SUCCESS,1
2.80398,15,6,7,START,0
2.80577,15,6,7,SUCCESS,1
2.90523,3,2,6,START,0
2.90702,3,2,6,SUCCESS,1
2.95348,11,5,2,START,0
2.95527,11,5,2,SUCCESS,1
2.96198,6,3,8,START,0
2.96377,6,3,8,SUCCESS,1
3.15623,9,4,2,START,0
3.15802,9,4,2,SUCCESS,1
3.40573,16,6,7,START,0
3.40752,16,6,7,SUCCESS,1
4.00648,2,2,7,START,0
4.00827,2,2,7,SUCCESS,1
4.05948,1,5,6,START,0
4.06127,1,5,6,SUCCESS,1
4.30675,20,8,2,START,0
4.30852,20,8,2,SUCCESS,1
4.55848,14,6,5,START,0
4.56027,14,6,5,SUCCESS,1
4.80725,19,7,6,START,0
4.80902,19,7,6,SUCCESS,1
4.90748,17,7,8,START,0
4.90927,17,7,8,SUCCESS,1
5.76477,8,5,6,START,0
5.76652,8,5,6,SUCCESS,1
6.16875,12,5,4,START,0
6.17052,12,5,4,SUCCESS,1
6.36198,18,7,2,START,0
6.36377,18,7,2,SUCCESS,1
7.47475,5,4,3,START,0
7.47652,5,4,3,SUCCESS,1
7.4836,13,5,6,START,0
7.48527,13,5,6,SUCCESS,1
7.80773,15,7,8,START,0
7.80952,15,7,8,SUCCESS,1
8.311,9,2,6,START,0
8.3115,11,2,5,START,0
8.31277,9,2,6,SUCCESS,1
8.31327,11,2,5,SUCCESS,1
8.31398,4,4,3,START,0
8.31577,4,4,3,SUCCESS,1
8.65748,7,2,8,START,0
8.65927,7,2,8,SUCCESS,1
8.9045,6,8,7,START,0
8.90627,6,8,7,SUCCESS,1
9.00298,1,6,5,START,0
9.00477,1,6,5,SUCCESS,1
9.20823,2,7,6,START,0
9.21002,2,7,6,SUCCESS,1
9.35823,20,2,8,START,0
9.36002,20,2,8,SUCCESS,1
9.85423,17,8,7,START,0
9.85602,17,8,7,SUCCESS,1
10.008,3,6,5,START,0
10.0098,3,6,5,SUCCESS,1
10.1562,10,3,8,START,0
10.1578,10,3,8,SUCCESS,1
10.507,19,6,5,START,0
10.5088,19,6,5,SUCCESS,1
10.7137,8,6,5,START,0
10.7155,8,6,5,SUCCESS,1
11.354,18,2,7,START,0
11.3558,18,2,7,SUCCESS,1
11.7577,12,4,2,START,0
11.7595,12,4,2,SUCCESS,1
12.605,16,7,8,START,0
12.6068,16,7,8,SUCCESS,1
13.214,5,3,2,START,0
13.2158,5,3,2,SUCCESS,1
13.2545,4,3,8,START,0
13.2563,4,3,8,SUCCESS,1
13.26,9,6,7,START,0
13.2618,9,6,7,SUCCESS,1
