uuid,sim,time_sec,ue_id,from_cell,to_cell,is_correct
510e312f-f655-4e04-97e2-3d7dd381fc0d,sim011,1.66102,10,4,3,True
228b5d20-6e9f-4a14-9397-49c768ce5a8e,sim011,2.30627,8,5,6,True
98473aca-de20-4f0a-8f62-da519075f72e,sim011,2.40352,11,5,2,True
8707c0d5-a9b5-4c73-8910-e73aadccdd7c,sim011,2.70677,3,2,6,True
c0ade118-4d58-43ee-9c24-50f55a539e21,sim011,2.80627,15,6,7,True
c54d5c3f-779d-4a42-a104-12d3562b2763,sim011,2.85902,5,3,4,True
b6d6e301-d6a7-4287-b5f5-65a6097fdf67,sim011,3.10727,7,4,2,True
3c8785ef-558b-41ec-ab51-eab69e2dc080,sim011,3.15852,6,3,8,True
ba762b07-646e-4c77-a93e-50eda4a78683,sim011,3.15877,9,4,2,True
3c9e74c2-2f11-40b9-a209-8d4bc150d5d8,sim011,3.78802,1,5,6,False
c43009ee-b131-4d43-9e07-59d9e3008a4f,sim011,3.79727,16,6,7,True
30b34406-aad6-4e65-b616-77bce3efd5f0,sim011,3.80427,17,7,8,True
96501d2d-fc9e-448e-9d5c-af89c4f2d547,sim011,3.90302,2,2,7,True
80c59cc7-6ca2-4bfe-9647-c949cc88cde6,sim011,4.30802,20,8,2,False
e0b4472b-255a-4894-b702-47f4d11d63b5,sim011,4.35727,14,6,5,True
9c6fc764-9acc-4168-8d56-87576ef73f23,sim011,4.65577,4,3,4,False
90c9c6e2-8559-4ba4-8127-6eb995ab2bf8,sim011,5.90277,13,5,6,True
47edf01e-1023-4468-8422-77fa57294b25,sim011,6.15977,12,5,4,True
3c99f9ba-07f0-4a1c-b7bc-4337eb4c2da4,sim011,6.56352,18,7,2,True
9794f548-e145-4a2f-b98a-e504023f584e,sim011,6.96277,19,7,6,True
ef3fba21-61f6-4032-aae6-2e583411c6dd,sim011,7.41402,11,2,5,True
a86b8833-720c-454f-888c-11fa2dcbf3e3,sim011,7.80252,15,7,8,True
d12f9ff4-ffab-4cb7-bedf-89910f077631,sim011,7.95977,5,4,3,True
7cddb275-bbba-4bb5-bee6-bd301d891a96,sim011,8.15602,9,2,6,True
e3566a7b-3f46-446c-907e-af35afad7aa0,sim011,8.66577,7,2,8,True
991eb6a2-266a-42f1-9a9f-a680c38dd791,sim011,8.67477,6,8,7,True
ac5d3018-61e5-49c2-8df0-57c2b173846b,sim011,8.75777,1,6,5,True
5f3262a5-99fa-48be-bd20-d94ac4d1b022,sim011,8.85477,17,8,2,True
5126a99f-cc1d-4082-8164-9beb6fdaa1e2,sim011,9.00577,2,7,6,True
e0344ada-0099-4a5d-9cf5-f026ce42de09,sim011,9.26102,20,2,8,True
9f8fe0a6-e939-438e-aa8d-c82f70e4660f,sim011,9.35377,8,6,5,True
cae5eaa5-ed81-405f-ae3b-be02019845f5,sim011,9.61002,4,4,3,True
6416d580-fa91-4a62-b46c-daede8776067,sim011,10.0563,10,3,2,True
a2bedc3f-3b08-4ed1-9983-c89ee71a0b6f,sim011,10.2035,3,6,5,True
851efdd7-2bd3-44cc-ab35-99ea3f7f569d,sim011,10.6585,16,7,8,False
37d09523-6ce0-42f6-ac61-c994d0d05d38,sim011,11.407,12,4,2,True
fed8420a-d7ad-4dc8-8ab6-0a32c8320c7b,sim011,12.058,19,6,5,True
a3cc76de-1729-48cb-af23-3823022294ea,sim011,12.6545,18,2,7,True
2b18deed-3e31-48ed-a257-ce9db711ac06,sim011,13.2548,9,6,7,True
fff27f7f-86be-4d6e-bc41-5d3a91da1d2e,sim011,13.756,6,7,8,True
73878106-ba5a-4d53-bb24-25f325215043,sim011,13.9575,17,2,7,True
5355f169-17d5-41a4-888a-7ef5d365ce06,sim011,14.0578,7,8,7,True
1d19ee32-9022-46b3-9623-38fce66a573d,sim011,14.3545,5,3,2,True
22063a36-8449-41fe-b9ac-866082ff4ed4,sim011,14.4548,8,5,6,True
ec40d74b-436d-4559-9015-8b48431abc90,sim011,14.705,4,3,8,True
18bab3b8-7ecf-4cba-9dd5-09b2474c4213,sim011,14.7605,11,5,2,True
33ad8799-c598-4740-8f6f-17d214f7e6ef,sim011,15.1703,10,2,6,True
288364ca-a555-4965-8459-53ac01c42439,sim011,15.3045,2,6,7,True
63fb14d6-8bf9-49b6-811c-ff9957efb2de,sim011,15.6523,16,8,7,True
5fce016d-fa40-49d8-8820-9df339973c36,sim011,16.3555,12,2,3,True
7e57594e-2f93-4568-a2bc-0be219e27fa5,sim011,16.4075,3,5,2,True
c8dfc0cd-0805-477d-a006-1595ceb0f743,sim011,17.3583,15,8,2,True
6ab15f16-a749-40b7-ac66-0e653c1ee177,sim011,17.7085,18,7,8,True
1628f63d-1c8b-41ca-a145-8fbf786765e7,sim011,17.7578,20,8,7,True
224d677a-21b7-4372-a172-39a7604782df,sim011,18.9665,9,7,6,False
7f841a97-95ef-494a-b626-f0245fb75a36,sim011,19.1588,19,5,6,True
537d0b36-7a0a-4a2f-bf2b-6312cfab5b93,sim011,19.352,1,5,6,True
602554c2-1df4-4722-8ddc-8a6ea99343b5,sim011,19.4558,8,6,4,True
166a7150-4d8c-4dba-abfd-698f6c9828fc,sim011,19.5043,7,7,2,True
c941397c-d36c-423d-8a62-ed6c6a7160e1,sim011,19.7078,11,2,8,True
baf8f950-21e2-4517-9dae-caca3f92aab0,sim011,19.753,17,7,8,True
360a4491-ad07-4881-9250-3a50a9afb2cc,sim011,19.9168,4,8,7,True
0bc46d31-4825-4b1d-8a3d-c8eaea13ce4b,sim011,20.2138,10,6,5,True
d314692e-2ada-49e7-ad1c-b11efbce459c,sim011,20.3048,2,7,6,True
84f298c9-27c2-438b-8f1b-ed12d20899fd,sim011,20.8558,14,5,4,True
c233e374-ce58-40ce-87b4-ced0b7784e9c,sim011,21.4068,12,3,2,True
1dfd6d37-75e0-4074-a229-41e2eea3785e,sim011,21.7055,6,8,3,True
