time_sec,cell_id,prb_util_pct,ue_count,load_variance,avg_dl_throughput_bps,cdr
22,7,96.4286,3,23.4277,19968,0
22,8,100,1,23.4277,19968,0
23,2,100,7,1211.47,20096,0
23,3,96.4286,3,1211.47,20096,0
23,4,0,0,1211.47,20096,0
23,5,100,4,1211.47,20096,0
23,6,100,2,1211.47,20096,0
23,7,100,2,1211.47,20096,0
23,8,100,2,1211.47,20096,0
24,2,100,7,1224.49,20224,0
24,3,100,4,1224.49,20224,0
24,4,100,1,1224.49,20224,0
24,5,100,4,1224.49,20224,0
24,6,100,2,1224.49,20224,0
24,7,100,2,1224.49,20224,0
24,8,0,0,1224.49,20224,0
25,2,100,7,1224.49,20224,0
25,3,100,4,1224.49,20224,0
25,4,0,0,1224.49,20224,0
25,5,100,4,1224.49,20224,0
25,6,100,2,1224.49,20224,0
25,7,100,2,1224.49,20224,0
25,8,100,1,1224.49,20224,0
26,2,85.7143,6,24.469,20160,0
26,3,96.4286,3,24.469,20160,0
26,4,100,2,24.469,20160,0
26,5,100,4,24.469,20160,0
26,6,100,2,24.469,20160,0
26,7,100,2,24.469,20160,0
26,8,100,1,24.469,20160,0
27,2,100,7,1211.47,20160,0
27,3,96.4286,3,1211.47,20160,0
27,4,0,0,1211.47,20160,0
27,5,100,4,1211.47,20160,0
27,6,100,2,1211.47,20160,0
27,7,100,2,1211.47,20160,0
27,8,100,2,1211.47,20160,0
28,2,100,7,1.56185,20224,0
28,3,96.4286,3,1.56185,20224,0
28,4,100,1,1.56185,20224,0
28,5,100,4,1.56185,20224,0
28,6,100,2,1.56185,20224,0
28,7,100,2,1.56185,20224,0
28,8,100,1,1.56185,20224,0
29,2,100,7,1197.94,20224,0
29,3,96.4286,3,1197.94,20224,0
29,4,0,0,1197.94,20224,0
29,5,100,4,1197.94,20224,0
29,6,96.4286,3,1197.94,20224,0
29,7,100,2,1197.94,20224,0
29,8,100,1,1197.94,20224,0
30,2,85.7143,8,1176.07,20224,0
30,3,96.4286,3,1176.07,20224,0
30,4,0,0,1176.07,20224,0
30,5,100,4,1176.07,20224,0
30,6,100,2,1176.07,20224,0
30,7,100,2,1176.07,20224,0
30,8,100,1,1176.07,20224,0
31,2,85.7143,6,24.469,20224,0
31,3,96.4286,3,24.469,20224,0
31,4,100,1,24.469,20224,0
31,5,100,4,24.469,20224,0
31,6,100,2,24.469,20224,0
31,7,100,2,24.469,20224,0
31,8,100,2,24.469,20224,0
32,2,100,7,1.56185,20224,0
32,3,96.4286,3,1.56185,20224,0
32,4,100,1,1.56185,20224,0
32,5,100,4,1.56185,20224,0
32,6,100,2,1.56185,20224,0
32,7,100,2,1.56185,20224,0
32,8,100,1,1.56185,20224,0
33,2,85.7143,8,1176.07,20160,0
33,3,96.4286,3,1176.07,20160,0
33,4,0,0,1176.07,20160,0
33,5,100,4,1176.07,20160,0
33,6,100,2,1176.07,20160,0
33,7,100,2,1176.07,20160,0
33,8,100,1,1176.07,20160,0
34,2,85.7143,6,23.4277,20224,0
34,3,96.4286,3,23.4277,20224,0
34,4,100,1,23.4277,20224,0
34,5,100,4,23.4277,20224,0
34,6,100,2,23.4277,20224,0
34,7,96.4286,3,23.4277,20224,0
34,8,100,1,23.4277,20224,0
35,2,85.7143,6,1155.25,20224,0
35,3,89.2857,5,1155.25,20224,0
35,4,100,1,1155.25,20224,0
35,5,100,4,1155.25,20224,0
35,6,100,2,1155.25,20224,0
35,7,100,2,1155.25,20224,0
35,8,0,0,1155.25,20224,0
36,2,85.7143,6,1176.07,20224,0
36,3,100,4,1176.07,20224,0
36,4,100,1,1176.07,20224,0
36,5,100,4,1176.07,20224,0
36,6,96.4286,3,1176.07,20224,0
36,7,100,2,1176.07,20224,0
36,8,0,0,1176.07,20224,0
37,2,85.7143,6,1176.07,20224,0
37,3,100,4,1176.07,20224,0
37,4,100,1,1176.07,20224,0
37,5,100,4,1176.07,20224,0
37,6,96.4286,3,1176.07,20224,0
37,7,100,2,1176.07,20224,0
37,8,0,0,1176.07,20224,0
38,2,85.7143,6,1838.3,20224,0
38,3,89.2857,5,1838.3,20224,0
38,4,0,0,1838.3,20224,0
38,5,100,4,1838.3,20224,0
38,6,100,2,1838.3,20224,0
38,7,96.4286,3,1838.3,20224,0
38,8,0,0,1838.3,20224,0
39,2,85.7143,6,24.469,20224,0
39,3,100,2,24.469,20224,0
39,4,100,2,24.469,20224,0
39,5,100,4,24.469,20224,0
39,6,96.4286,3,24.469,20224,0
39,7,100,2,24.469,20224,0
39,8,100,1,24.469,20224,0
40,2,100,7,1224.49,20224,0
40,3,100,4,1224.49,20224,0
40,4,0,0,1224.49,20224,0
40,5,100,4,1224.49,20224,0
40,6,100,2,1224.49,20224,0
40,7,100,1,1224.49,20224,0
40,8,100,2,1224.49,20224,0
41,2,85.7143,6,1838.3,20224,0
41,3,89.2857,5,1838.3,20224,0
41,4,0,0,1838.3,20224,0
41,5,100,4,1838.3,20224,0
41,6,96.4286,3,1838.3,20224,0
41,7,100,2,1838.3,20224,0
41,8,0,0,1838.3,20224,0
42,2,100,7,3.1237,20224,0
42,3,96.4286,3,3.1237,20224,0
42,4,100,1,3.1237,20224,0
42,5,96.4286,3,3.1237,20224,0
42,6,96.4286,3,3.1237,20224,0
42,7,100,1,3.1237,20224,0
42,8,100,2,3.1237,20224,0
43,2,85.7143,8,1144.31,20160,0
43,3,96.4286,3,1144.31,20160,0
43,4,0,0,1144.31,20160,0
43,5,96.4286,3,1144.31,20160,0
43,6,96.4286,3,1144.31,20160,0
43,7,100,2,1144.31,20160,0
43,8,100,1,1144.31,20160,0
44,2,85.7143,6,21.8659,20160,0
44,3,96.4286,3,21.8659,20160,0
44,4,100,1,21.8659,20160,0
44,5,96.4286,3,21.8659,20160,0
44,6,96.4286,3,21.8659,20160,0
44,7,100,2,21.8659,20160,0
44,8,100,2,21.8659,20160,0
