timestamp,id,x,y,simid,ESstate,currEC,maxEC,totalcurrEC
1769212807210,0,1000,1000
1769212807210,4,350,300,1769212807210,false,0,100,0
1769212807210,5,500,300,1769212807210,false,0,100,0
1769212807210,6,650,300,1769212807210,false,0,100,0
1769212807310,4,350,300,1769212807210,false,0,100,0
1769212807310,5,500,300,1769212807210,false,0,100,0
1769212807310,6,650,300,1769212807210,false,0,100,0
1769212807410,4,350,300,1769212807210,false,0,100,0
1769212807410,5,500,300,1769212807210,false,0,100,0
1769212807410,6,650,300,1769212807210,false,0,100,0
1769212807510,4,350,300,1769212807210,false,0,100,0
1769212807510,5,500,300,1769212807210,false,0,100,0
1769212807510,6,650,300,1769212807210,false,0,100,0
1769212807610,4,350,300,1769212807210,false,0,100,0
1769212807610,5,500,300,1769212807210,false,0,100,0
1769212807610,6,650,300,1769212807210,false,0,100,0
1769212807710,4,350,300,1769212807210,false,0,100,0
1769212807710,5,500,300,1769212807210,false,0,100,0
1769212807710,6,650,300,1769212807210,false,0,100,0
1769212807810,4,350,300,1769212807210,false,0,100,0
1769212807810,5,500,300,1769212807210,false,0,100,0
1769212807810,6,650,300,1769212807210,false,0,100,0
1769212807910,4,350,300,1769212807210,false,0,100,0
1769212807910,5,500,300,1769212807210,false,0,100,0
1769212807910,6,650,300,1769212807210,false,0,100,0
1769212808010,4,350,300,1769212807210,false,0,100,0
1769212808010,5,500,300,1769212807210,false,0,100,0
1769212808010,6,650,300,1769212807210,false,0,100,0
1769212808110,4,350,300,1769212807210,false,0,100,0
1769212808110,5,500,300,1769212807210,false,0,100,0
1769212808110,6,650,300,1769212807210,false,0,100,0
1769212808210,4,350,300,1769212807210,false,0,100,0
1769212808210,5,500,300,1769212807210,false,0,100,0
1769212808210,6,650,300,1769212807210,false,0,100,0
1769212808310,4,350,300,1769212807210,false,0,100,0
1769212808310,5,500,300,1769212807210,false,0,100,0
1769212808310,6,650,300,1769212807210,false,0,100,0
