SessionID,ElapsedTime,Node,CellID,Level,SNR,Qual,CQI,SecondCell_RSRP,SecondCell_SNR,NRxLev1,NQual1,Speed,DL_bitrate,UL_bitrate,BANDWIDTH,Bearing,RSRQ
7,17.6,15,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
8,17.7,16,2,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
9,17.8,17,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
10,17.9,18,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
1,18,9,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
2,18.1,10,2,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
3,18.2,11,1,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
4,18.3,12,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
5,18.4,13,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
6,18.5,14,2,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
7,18.6,15,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
8,18.7,16,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
9,18.8,17,2,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
10,18.9,18,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
1,19,9,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
2,19.1,10,2,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
3,19.2,11,1,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
4,19.3,12,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
5,19.4,13,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
6,19.5,14,1,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
7,19.6,15,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
8,19.7,16,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
9,19.8,17,2,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
10,19.9,18,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
1,20,9,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
2,20.1,10,2,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
3,20.2,11,1,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
4,20.3,12,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
5,20.4,13,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
6,20.5,14,1,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
7,20.6,15,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
8,20.7,16,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
9,20.8,17,2,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
10,20.9,18,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
1,21,9,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
2,21.1,10,2,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
3,21.2,11,1,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
4,21.3,12,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
5,21.4,13,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
6,21.5,14,1,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
7,21.6,15,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
8,21.7,16,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
9,21.8,17,2,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
10,21.9,18,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
1,22,9,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
2,22.1,10,2,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
3,22.2,11,1,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
4,22.3,12,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
5,22.4,13,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
6,22.5,14,1,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
7,22.6,15,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
8,22.7,16,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
9,22.8,17,2,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
10,22.9,18,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
1,23,9,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
2,23.1,10,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
3,23.2,11,1,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
4,23.3,12,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
5,23.4,13,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
6,23.5,14,1,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
7,23.6,15,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
8,23.7,16,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
9,23.8,17,1,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
10,23.9,18,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
1,24,9,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
2,24.1,10,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
3,24.2,11,1,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
4,24.3,12,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
5,24.4,13,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
6,24.5,14,1,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
7,24.6,15,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
8,24.7,16,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
9,24.8,17,1,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
10,24.9,18,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
1,25,9,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
2,25.1,10,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
3,25.2,11,2,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
4,25.3,12,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
5,25.4,13,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
6,25.5,14,1,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
7,25.6,15,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
8,25.7,16,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
9,25.8,17,1,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
10,25.9,18,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
1,26,9,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
2,26.1,10,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
3,26.2,11,2,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
4,26.3,12,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
5,26.4,13,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
6,26.5,14,1,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
7,26.6,15,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
8,26.7,16,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
9,26.8,17,1,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
10,26.9,18,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
1,27,9,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
2,27.1,10,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
3,27.2,11,2,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
4,27.3,12,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
5,27.4,13,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
6,27.5,14,1,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
7,27.6,15,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
8,27.7,16,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
9,27.8,17,1,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
10,27.9,18,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
1,28,9,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
2,28.1,10,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
3,28.2,11,2,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
4,28.3,12,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
5,28.4,13,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
6,28.5,14,2,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
7,28.6,15,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
8,28.7,16,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
9,28.8,17,1,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
10,28.9,18,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
1,29,9,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
2,29.1,10,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
3,29.2,11,2,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
4,29.3,12,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
5,29.4,13,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
6,29.5,14,2,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
7,29.6,15,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
8,29.7,16,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
9,29.8,17,1,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
10,29.9,18,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
1,30,9,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
2,30.1,10,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
3,30.2,11,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
4,30.3,12,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
5,30.4,13,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
6,30.5,14,2,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
7,30.6,15,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
8,30.7,16,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
9,30.8,17,1,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
10,30.9,18,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
1,31,9,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
2,31.1,10,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
3,31.2,11,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
4,31.3,12,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
5,31.4,13,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
6,31.5,14,2,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
7,31.6,15,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
8,31.7,16,2,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
9,31.8,17,2,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
10,31.9,18,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
1,32,9,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
2,32.1,10,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
3,32.2,11,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
4,32.3,12,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
5,32.4,13,2,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
6,32.5,14,2,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
7,32.6,15,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
8,32.7,16,2,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
9,32.8,17,2,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
10,32.9,18,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
1,33,9,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
2,33.1,10,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
3,33.2,11,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
4,33.3,12,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
5,33.4,13,2,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
6,33.5,14,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
7,33.6,15,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
8,33.7,16,2,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
9,33.8,17,2,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
10,33.9,18,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
1,34,9,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
2,34.1,10,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
3,34.2,11,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
4,34.3,12,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
5,34.4,13,2,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
6,34.5,14,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
7,34.6,15,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
8,34.7,16,2,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
9,34.8,17,2,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
10,34.9,18,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
1,35,9,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
2,35.1,10,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
3,35.2,11,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
4,35.3,12,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
5,35.4,13,2,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
6,35.5,14,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
7,35.6,15,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
8,35.7,16,2,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
9,35.8,17,2,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
