Time,NetEnergy,DiffEnergy
0.121893,97.8626,0.198795
0.121893,97.8626,8.63e-07
0.121929,97.9951,0.132527
0.121982,98.0183,0.0231163
0.122,98.0307,0.012401
0.122,98.0307,1.2945e-06
0.122018,98.0969,0.0662636
0.122018,98.0969,8.63e-07
0.122071,98.2957,0.198795
0.122071,98.2957,8.63e-07
0.122125,98.4945,0.198795
0.122125,98.4945,8.63e-07
0.122179,98.6933,0.198795
0.122179,98.6933,8.63e-07
0.122232,98.8921,0.198795
0.122232,98.8921,4.315e-07
0.12225,98.9045,0.012401
0.12225,98.9045,1.2945e-06
0.122268,98.9708,0.0662636
0.122268,98.9708,8.63e-07
0.122321,99.1696,0.198795
0.122321,99.1696,8.63e-07
0.122357,99.3021,0.132527
0.122357,99.3021,8.63e-07
0.122411,99.5009,0.198795
0.122411,99.5009,8.63e-07
0.122446,99.6334,0.132527
0.122482,99.6488,0.015411
0.1225,99.6612,0.012401
0.1225,99.6612,1.2945e-06
0.122518,99.7275,0.0662636
0.122518,99.7275,8.63e-07
0.122554,99.86,0.132527
0.122554,99.86,8.63e-07
0.122589,99.9926,0.132527
0.122732,100.054,0.0616428
0.12275,100.067,0.012401
0.12275,100.067,1.2945e-06
0.122768,100.133,0.0662636
0.122768,100.133,8.63e-07
0.122804,100.265,0.132527
0.122804,100.265,8.63e-07
0.122839,100.398,0.132527
0.122839,100.398,8.63e-07
0.122875,100.53,0.132527
0.122875,100.53,8.63e-07
0.122911,100.663,0.132527
0.122911,100.663,8.63e-07
0.122946,100.796,0.132527
0.122946,100.796,8.63e-07
0.122982,100.928,0.132527
0.122982,100.928,4.315e-07
0.123,100.94,0.012401
0.123,100.94,1.2945e-06
0.123018,101.007,0.0662636
0.123018,101.007,8.63e-07
0.123036,101.073,0.0662599
0.123232,101.158,0.0847587
0.12325,101.17,0.012401
0.12325,101.17,1.2945e-06
0.123268,101.236,0.0662636
0.123268,101.236,8.63e-07
0.123304,101.369,0.132527
0.123304,101.369,8.63e-07
0.123339,101.501,0.132527
0.123339,101.501,8.63e-07
0.123393,101.7,0.198795
0.123393,101.7,8.63e-07
0.123429,101.833,0.132527
0.123482,101.856,0.0231163
0.1235,101.868,0.012401
0.1235,101.868,1.2945e-06
0.123518,101.935,0.0662636
0.123732,102.027,0.092464
0.12375,102.039,0.012401
0.12375,102.039,1.2945e-06
0.123768,102.106,0.0662636
0.123768,102.106,8.63e-07
0.123804,102.238,0.132527
0.123804,102.238,8.63e-07
0.123839,102.371,0.132527
0.123839,102.371,8.63e-07
0.123875,102.503,0.132527
0.123875,102.503,8.63e-07
0.123911,102.636,0.132527
0.123982,102.667,0.0308216
0.124,102.679,0.012401
0.124,102.679,1.2945e-06
0.124018,102.745,0.0662636
0.124232,102.838,0.092464
0.12425,102.85,0.012401
0.12425,102.85,1.2945e-06
0.124268,102.916,0.0662636
0.124268,102.916,8.63e-07
0.124304,103.049,0.132527
0.124304,103.049,8.63e-07
0.124339,103.181,0.132527
0.124339,103.181,8.63e-07
0.124375,103.314,0.132527
0.124375,103.314,8.63e-07
0.124411,103.447,0.132527
0.124411,103.447,8.63e-07
0.124446,103.579,0.132527
0.124446,103.579,8.63e-07
0.124482,103.712,0.132527
0.124482,103.712,4.315e-07
0.1245,103.724,0.012401
0.1245,103.724,1.2945e-06
0.124518,103.79,0.0662636
0.124518,103.79,8.63e-07
0.124536,103.856,0.0662599
0.124732,103.941,0.0847587
0.12475,103.954,0.012401
0.12475,103.954,1.2945e-06
0.124768,104.02,0.0662636
0.124768,104.02,8.63e-07
0.124804,104.152,0.132527
0.124804,104.152,8.63e-07
0.124839,104.285,0.132527
0.124839,104.285,8.63e-07
0.124875,104.418,0.132527
0.124875,104.418,8.63e-07
0.124911,104.55,0.132527
0.124911,104.55,8.63e-07
0.124946,104.683,0.132527
0.124946,104.683,8.63e-07
0.124982,104.815,0.132527
0.124982,104.815,4.315e-07
0.125,104.827,0.012401
0.125,104.827,1.2945e-06
0.125018,104.894,0.0662636
0.125018,104.894,8.63e-07
0.125036,104.96,0.0662599
0.125036,104.96,8.63e-07
0.125054,105.026,0.0662599
0.125232,105.103,0.0770534
0.12525,105.116,0.012401
0.12525,105.116,1.2945e-06
0.125268,105.182,0.0662636
0.125268,105.182,8.63e-07
0.125286,105.248,0.0662599
0.125286,105.248,8.63e-07
0.125304,105.315,0.0662599
0.125304,105.315,8.63e-07
0.125339,105.447,0.132527
0.125339,105.447,8.63e-07
0.125375,105.58,0.132527
0.125375,105.58,8.63e-07
0.125411,105.712,0.132527
0.125411,105.712,8.63e-07
0.125446,105.845,0.132527
0.125482,105.86,0.015411
0.1255,105.872,0.012401
0.1255,105.872,1.2945e-06
0.125518,105.939,0.0662636
0.125518,105.939,8.63e-07
0.125554,106.071,0.132527
0.125554,106.071,8.63e-07
0.125589,106.204,0.132527
0.125732,106.265,0.0616428
0.12575,106.278,0.012401
0.12575,106.278,1.2945e-06
0.125768,106.344,0.0662636
0.125768,106.344,8.63e-07
0.125786,106.41,0.0662599
0.125786,106.41,8.63e-07
0.125804,106.477,0.0662599
0.125804,106.477,8.63e-07
0.125839,106.609,0.132527
0.125839,106.609,8.63e-07
0.125875,106.742,0.132527
0.125875,106.742,8.63e-07
0.125911,106.874,0.132527
0.125911,106.874,8.63e-07
0.125946,107.007,0.132527
0.125982,107.022,0.015411
0.126,107.035,0.012401
0.126,107.035,1.2945e-06
0.126018,107.101,0.0662636
0.126018,107.101,8.63e-07
0.126054,107.233,0.132527
0.126054,107.233,8.63e-07
0.126089,107.366,0.132527
0.126089,107.366,8.63e-07
0.126125,107.498,0.132527
0.126125,107.498,8.63e-07
0.126161,107.631,0.132527
0.126232,107.662,0.0308216
0.12625,107.674,0.012401
0.12625,107.674,1.2945e-06
0.126268,107.74,0.0662636
0.126268,107.74,8.63e-07
0.126321,107.939,0.198795
0.126321,107.939,8.63e-07
0.126375,108.138,0.198795
0.126375,108.138,8.63e-07
0.126411,108.271,0.132527
0.126411,108.271,8.63e-07
0.126446,108.403,0.132527
0.126482,108.418,0.015411
0.1265,108.431,0.012401
0.1265,108.431,1.2945e-06
0.126518,108.497,0.0662636
0.126518,108.497,8.63e-07
0.126554,108.63,0.132527
0.126554,108.63,8.63e-07
0.126589,108.762,0.132527
0.126589,108.762,8.63e-07
0.126607,108.828,0.0662599
0.126732,108.882,0.0539375
0.12675,108.895,0.012401
0.12675,108.895,1.2945e-06
0.126768,108.961,0.0662636
0.126768,108.961,8.63e-07
0.126804,109.094,0.132527
0.126804,109.094,8.63e-07
0.126839,109.226,0.132527
0.126839,109.226,8.63e-07
0.126875,109.359,0.132527
0.126875,109.359,8.63e-07
0.126911,109.491,0.132527
0.126911,109.491,8.63e-07
0.126946,109.624,0.132527
0.126946,109.624,8.63e-07
0.126982,109.756,0.132527
0.126982,109.756,4.315e-07
0.127,109.769,0.012401
0.127,109.769,1.2945e-06
0.127018,109.835,0.0662636
0.127018,109.835,8.63e-07
0.127054,109.967,0.132527
0.127054,109.967,8.63e-07
0.127071,110.034,0.0662599
0.127232,110.103,0.0693481
0.12725,110.115,0.012401
0.12725,110.115,1.2945e-06
0.127268,110.182,0.0662636
0.127268,110.182,8.63e-07
0.127304,110.314,0.132527
0.127304,110.314,8.63e-07
0.127339,110.447,0.132527
0.127339,110.447,8.63e-07
0.127375,110.579,0.132527
0.127375,110.579,8.63e-07
0.127411,110.712,0.132527
0.127482,110.743,0.0308216
0.1275,110.755,0.012401
0.1275,110.755,1.2945e-06
0.127518,110.821,0.0662636
0.127732,110.914,0.092464
0.12775,110.926,0.012401
0.12775,110.926,1.2945e-06
0.127768,110.992,0.0662636
0.127768,110.992,8.63e-07
0.127786,111.059,0.0662599
0.127786,111.059,8.63e-07
0.127804,111.125,0.0662599
0.127804,111.125,8.63e-07
0.127839,111.257,0.132527
0.127839,111.257,8.63e-07
0.127875,111.39,0.132527
0.127875,111.39,8.63e-07
0.127911,111.523,0.132527
0.127911,111.523,8.63e-07
0.127964,111.721,0.198795
0.127982,111.729,0.00770573
0.128,111.741,0.012401
0.128,111.741,1.2945e-06
0.128018,111.808,0.0662636
0.128018,111.808,8.63e-07
0.128054,111.94,0.132527
0.128054,111.94,8.63e-07
