time_sec,ue_id,from_cell,to_cell,event,executed_ok
1.98498,10,4,3,START,0
1.98677,10,4,3,SUCCESS,1
2.28198,8,5,6,START,0
2.28377,8,5,6,SUCCESS,1
2.38623,15,6,7,START,0
2.38802,15,6,7,SUCCESS,1
2.73048,6,3,8,START,0
2.73227,6,3,8,SUCCESS,1
2.73898,11,5,6,START,0
2.74077,11,5,6,SUCCESS,1
2.78098,3,2,5,START,0
2.78277,3,2,5,SUCCESS,1
2.88648,5,3,4,START,0
2.88827,5,3,4,SUCCESS,1
2.93121,9,4,2,START,0
2.93277,9,4,2,SUCCESS,1
3.03298,7,4,2,START,0
3.03477,7,4,2,SUCCESS,1
4.14398,1,5,6,START,0
4.14577,1,5,6,SUCCESS,1
4.23123,3,5,6,START,0
4.23302,3,5,6,SUCCESS,1
4.28773,2,2,7,START,0
4.28952,2,2,7,SUCCESS,1
4.43448,16,6,7,START,0
4.43627,16,6,7,SUCCESS,1
4.633,4,3,4,START,0
4.63477,4,3,4,SUCCESS,1
4.78748,17,7,8,START,0
4.78927,17,7,8,SUCCESS,1
5.03598,14,6,5,START,0
5.03777,14,6,5,SUCCESS,1
5.683,13,5,6,START,0
5.68477,13,5,6,SUCCESS,1
6.43725,18,7,2,START,0
6.43902,18,7,2,SUCCESS,1
6.681,12,5,4,START,0
6.68277,12,5,4,SUCCESS,1
7.02975,19,7,6,START,0
7.03152,19,7,6,SUCCESS,1
7.38448,15,7,8,START,0
7.38627,15,7,8,SUCCESS,1
7.73198,11,6,5,START,0
7.73377,11,6,5,SUCCESS,1
7.88298,5,4,2,START,0
7.88477,5,4,2,SUCCESS,1
7.98498,9,2,6,START,0
7.98677,9,2,6,SUCCESS,1
8.10798,7,2,8,START,0
8.10977,7,2,8,SUCCESS,1
8.68077,6,8,7,START,0
8.68252,6,8,7,SUCCESS,1
8.931,8,6,5,START,0
8.93277,8,6,5,SUCCESS,1
9.18123,1,6,5,START,0
9.18302,1,6,5,SUCCESS,1
9.58048,4,4,3,START,0
9.58227,4,4,3,SUCCESS,1
9.63352,2,7,2,START,0
9.63527,2,7,2,SUCCESS,1
9.82973,17,8,7,START,0
9.83152,17,8,7,SUCCESS,1
9.9795,3,6,5,START,0
9.98127,3,6,5,SUCCESS,1
10.1315,10,3,8,START,0
10.1333,10,3,8,SUCCESS,1
12.0058,19,6,5,START,0
12.0075,19,6,5,SUCCESS,1
12.6298,16,7,8,START,0
12.6315,16,7,8,SUCCESS,1
12.6334,12,4,2,START,0
12.635,12,4,2,SUCCESS,1
12.8538,5,2,3,START,0
12.8555,5,2,3,SUCCESS,1
12.979,9,6,7,START,0
12.9808,9,6,7,SUCCESS,1
13.7085,6,7,8,START,0
13.7103,6,7,8,SUCCESS,1
13.9397,18,2,7,START,0
13.9415,18,2,7,SUCCESS,1
13.953,8,5,6,START,0
13.9548,8,5,6,SUCCESS,1
14.1295,11,5,4,START,0
14.1313,11,5,4,SUCCESS,1
14.3307,7,8,7,START,0
14.3325,7,8,7,SUCCESS,1
14.6816,2,2,6,START,0
14.6833,2,2,6,SUCCESS,1
14.6863,4,3,8,START,0
14.688,4,3,8,SUCCESS,1
15.159,10,8,6,START,0
15.1608,10,8,6,SUCCESS,1
15.5408,17,7,8,START,0
15.5425,17,7,8,SUCCESS,1
17.3082,15,8,2,START,0
17.31,15,8,2,SUCCESS,1
17.3453,3,5,2,START,0
17.347,3,5,2,SUCCESS,1
17.381,8,6,2,START,0
17.3828,8,6,2,SUCCESS,1
17.631,20,8,7,START,0
17.6328,20,8,7,SUCCESS,1
17.6804,12,2,3,START,0
17.682,12,2,3,SUCCESS,1
17.6825,16,8,7,START,0
17.6843,16,8,7,SUCCESS,1
17.6862,1,5,6,START,0
17.6878,1,5,6,SUCCESS,1
17.9032,5,3,2,START,0
17.905,5,3,2,SUCCESS,1
18.2803,9,7,6,START,0
18.282,9,7,6,SUCCESS,1
18.531,14,5,4,START,0
18.5328,14,5,4,SUCCESS,1
18.5355,19,5,6,START,0
18.5373,19,5,6,SUCCESS,1
19.0055,18,7,8,START,0
19.0073,18,7,8,SUCCESS,1
19.1308,11,4,8,START,0
19.1325,11,4,8,SUCCESS,1
19.6857,7,7,2,START,0
19.6875,7,7,2,SUCCESS,1
20.2094,10,6,4,START,0
20.211,10,6,4,SUCCESS,1
20.5835,17,8,7,START,0
20.5853,17,8,7,SUCCESS,1
20.8798,6,8,3,START,0
20.8815,6,8,3,SUCCESS,1
22.0297,18,8,2,START,0
22.0315,18,8,2,SUCCESS,1
22.3798,8,2,4,START,0
22.3815,8,2,4,SUCCESS,1
22.3842,15,2,5,START,0
22.386,15,2,5,SUCCESS,1
22.4802,11,8,3,START,0
22.482,11,8,3,SUCCESS,1
22.754,12,3,2,START,0
22.7552,1,6,5,START,0
22.7558,12,3,2,SUCCESS,1
22.757,1,6,5,SUCCESS,1
22.7588,16,7,8,START,0
22.7605,16,7,8,SUCCESS,1
23.3552,9,6,7,START,0
23.357,9,6,7,SUCCESS,1
23.607,19,6,7,START,0
23.6088,19,6,7,SUCCESS,1
23.729,20,7,8,START,0
23.7308,20,7,8,SUCCESS,1
23.881,4,8,3,START,0
23.8828,4,8,3,SUCCESS,1
24.2293,13,6,7,START,0
24.231,13,6,7,SUCCESS,1
24.8303,7,2,8,START,0
24.832,7,2,8,SUCCESS,1
25.3303,14,4,5,START,0
25.332,14,4,5,SUCCESS,1
25.4308,5,2,7,START,0
25.4325,5,2,7,SUCCESS,1
26.1934,6,3,8,START,0
26.195,6,3,8,SUCCESS,1
26.2315,10,4,3,START,0
26.2333,10,4,3,SUCCESS,1
27.1328,18,2,7,START,0
27.1345,18,2,7,SUCCESS,1
27.4928,8,4,5,START,0
27.4945,8,4,5,SUCCESS,1
27.5008,15,5,6,START,0
27.5025,15,5,6,SUCCESS,1
27.6857,11,3,2,START,0
27.6875,11,3,2,SUCCESS,1
27.882,12,2,8,START,0
27.8838,12,2,8,SUCCESS,1
28.4605,9,7,8,START,0
28.4623,9,7,8,SUCCESS,1
28.805,20,8,7,START,0
28.8068,20,8,7,SUCCESS,1
28.9292,4,3,2,START,0
28.931,4,3,2,SUCCESS,1
29.2345,19,7,6,START,0
29.2363,19,7,6,SUCCESS,1
29.9355,3,2,4,START,0
29.9373,3,2,4,SUCCESS,1
30.6555,5,7,2,START,0
30.6573,5,7,2,SUCCESS,1
30.7302,13,7,6,START,0
30.732,13,7,6,SUCCESS,1
31.2297,6,8,2,START,0
31.2315,6,8,2,SUCCESS,1
31.6318,10,3,8,START,0
31.6335,10,3,8,SUCCESS,1
31.681,1,5,6,START,0
31.6828,1,5,6,SUCCESS,1
32.3822,18,7,2,START,0
32.384,18,7,2,SUCCESS,1
32.5833,15,6,7,START,0
32.5833,8,5,3,START,0
32.585,8,5,3,SUCCESS,1
32.585,15,6,7,SUCCESS,1
32.6793,11,2,5,START,0
32.681,11,2,5,SUCCESS,1
32.935,12,8,2,START,0
32.9368,12,8,2,SUCCESS,1
33.6362,16,8,3,START,0
33.638,16,8,3,SUCCESS,1
34.0404,4,2,5,START,0
34.042,4,2,5,SUCCESS,1
34.2832,19,6,7,START,0
34.285,19,6,7,SUCCESS,1
35.0068,3,4,2,START,0
35.0085,3,4,2,SUCCESS,1
35.5792,7,8,3,START,0
35.581,7,8,3,SUCCESS,1
36.3573,6,2,8,START,0
36.359,6,2,8,SUCCESS,1
36.4815,13,6,7,START,0
36.4833,13,6,7,SUCCESS,1
36.8835,10,8,2,START,0
36.8853,10,8,2,SUCCESS,1
37.0327,5,2,3,START,0
37.0345,5,2,3,SUCCESS,1
37.6792,8,3,2,START,0
37.681,8,3,2,SUCCESS,1
37.6895,15,7,3,START,0
37.6913,15,7,3,SUCCESS,1
37.7302,2,6,2,START,0
37.732,2,6,2,SUCCESS,1
37.929,12,2,6,START,0
37.9308,12,2,6,SUCCESS,1
38.7867,14,5,2,START,0
38.7885,14,5,2,SUCCESS,1
