time_sec,ue_id,from_cell,to_cell,event,executed_ok
3.30423,11,5,2,START,0
3.30573,15,6,7,START,0
3.30573,5,3,4,START,0
3.30575,7,4,2,START,0
3.306,9,4,2,START,0
3.30602,11,5,2,SUCCESS,1
3.30752,15,6,7,SUCCESS,1
3.30752,7,4,2,SUCCESS,1
3.30752,5,3,4,SUCCESS,1
3.30777,9,4,2,SUCCESS,1
3.31025,10,4,3,START,0
3.31202,10,4,3,SUCCESS,1
4.8075,4,3,4,START,0
4.8084,6,3,8,START,0
4.80927,4,3,4,SUCCESS,1
4.81002,6,3,8,SUCCESS,1
4.814,1,5,6,START,0
4.814,14,6,5,START,0
4.814,16,6,7,START,0
4.81577,1,5,6,SUCCESS,1
4.81577,14,6,5,SUCCESS,1
4.81577,16,6,7,SUCCESS,1
6.30473,3,2,6,START,0
6.30652,3,2,6,SUCCESS,1
6.309,8,5,6,START,0
6.31077,8,5,6,SUCCESS,1
7.80523,12,5,4,START,0
7.80702,12,5,4,SUCCESS,1
7.80973,19,7,6,START,0
7.81152,19,7,6,SUCCESS,1
8.00448,15,7,8,START,0
8.00627,15,7,8,SUCCESS,1
9.30502,2,2,7,START,0
9.30573,13,5,6,START,0
9.30677,2,2,7,SUCCESS,1
9.30752,13,5,6,SUCCESS,1
9.31023,18,7,2,START,0
9.31202,18,7,2,SUCCESS,1
12.3097,7,2,8,START,0
12.3115,7,2,8,SUCCESS,1
12.316,9,2,7,START,0
12.3178,9,2,7,SUCCESS,1
12.32,11,2,5,START,0
12.3218,11,2,5,SUCCESS,1
12.3307,10,3,2,START,0
12.3325,10,3,2,SUCCESS,1
12.3328,4,4,3,START,0
12.3328,5,4,3,START,0
12.333,1,6,5,START,0
12.3345,4,4,3,SUCCESS,1
12.3345,5,4,3,SUCCESS,1
12.3348,1,6,5,SUCCESS,1
12.3415,8,6,5,START,0
12.3433,8,6,5,SUCCESS,1
13.8128,3,6,5,START,0
13.8145,3,6,5,SUCCESS,1
15.309,18,2,8,START,0
15.3108,18,2,8,SUCCESS,1
15.319,12,4,2,START,0
15.3208,12,4,2,SUCCESS,1
16.8131,2,7,6,START,0
16.8148,2,7,6,SUCCESS,1
18.3057,15,8,2,START,0
18.3075,15,8,2,SUCCESS,1
18.5062,10,2,5,START,0
18.508,10,2,5,SUCCESS,1
18.517,4,3,8,START,0
18.5188,4,3,8,SUCCESS,1
18.5228,5,3,2,START,0
18.5232,11,5,2,START,0
18.5245,5,3,2,SUCCESS,1
18.525,11,5,2,SUCCESS,1
19.806,3,5,2,START,0
19.8078,3,5,2,SUCCESS,1
19.8165,8,5,2,START,0
19.8183,8,5,2,SUCCESS,1
19.8244,7,8,7,START,0
19.8245,20,8,7,START,0
19.826,7,8,7,SUCCESS,1
19.8263,20,8,7,SUCCESS,1
21.3045,19,6,2,START,0
21.3063,19,6,2,SUCCESS,1
24.3077,16,7,8,START,0
24.3095,16,7,8,SUCCESS,1
24.317,18,8,7,START,0
24.3188,18,8,7,SUCCESS,1
25.8093,14,5,4,START,0
25.811,14,5,4,SUCCESS,1
26.0052,8,2,4,START,0
26.0068,8,2,4,SUCCESS,1
26.0502,7,7,8,START,0
26.052,7,7,8,SUCCESS,1
27.3125,5,2,7,START,0
27.3143,5,2,7,SUCCESS,1
27.3247,12,2,8,START,0
27.3265,12,2,8,SUCCESS,1
28.6327,15,2,6,START,0
28.6345,15,2,6,SUCCESS,1
28.8197,19,2,7,START,0
28.8215,19,2,7,SUCCESS,1
28.8292,10,5,3,START,0
28.831,10,5,3,SUCCESS,1
29.802,13,6,7,START,0
29.8038,13,6,7,SUCCESS,1
29.8072,9,7,8,START,0
29.809,9,7,8,SUCCESS,1
30.3055,11,2,5,START,0
30.3073,11,2,5,SUCCESS,1
30.3165,14,4,5,START,0
30.3183,14,4,5,SUCCESS,1
30.3257,15,6,7,START,0
30.3275,15,6,7,SUCCESS,1
30.335,4,8,2,START,0
30.3365,6,8,3,START,0
30.3368,4,8,2,SUCCESS,1
30.3383,6,8,3,SUCCESS,1
33.3047,1,5,6,START,0
33.3065,1,5,6,SUCCESS,1
33.313,18,7,2,START,0
33.3148,18,7,2,SUCCESS,1
34.395,13,7,6,START,0
34.3968,13,7,6,SUCCESS,1
36.3117,10,3,8,START,0
36.3135,10,3,8,SUCCESS,1
36.3217,8,4,3,START,0
36.3235,8,4,3,SUCCESS,1
37.805,5,7,2,START,0
37.8068,5,7,2,SUCCESS,1
37.8128,4,2,5,START,0
37.8145,4,2,5,SUCCESS,1
37.8225,6,3,8,START,0
37.8243,6,3,8,SUCCESS,1
37.833,15,7,8,START,0
37.8348,15,7,8,SUCCESS,1
37.8425,7,8,3,START,0
37.8443,7,8,3,SUCCESS,1
37.845,12,8,2,START,0
37.8457,16,8,3,START,0
37.8468,12,8,2,SUCCESS,1
37.8475,16,8,3,SUCCESS,1
40.8038,2,6,2,START,0
40.8038,19,7,8,START,0
40.8055,19,7,8,SUCCESS,1
40.8055,2,6,2,SUCCESS,1
41.0043,1,6,5,START,0
41.006,1,6,5,SUCCESS,1
43.8055,9,8,2,START,0
43.8073,9,8,2,SUCCESS,1
43.8113,10,8,6,START,0
43.813,10,8,6,SUCCESS,1
45.3032,5,2,3,START,0
45.305,5,2,3,SUCCESS,1
45.3053,7,3,8,START,0
45.3065,4,5,4,START,0
45.307,7,3,8,SUCCESS,1
45.3083,4,5,4,SUCCESS,1
46.814,12,2,8,START,0
46.8158,12,2,8,SUCCESS,1
48.317,8,3,5,START,0
48.3175,11,5,8,START,0
48.3188,8,3,5,SUCCESS,1
48.3188,15,8,4,START,0
48.3193,11,5,8,SUCCESS,1
48.3205,15,8,4,SUCCESS,1
48.3225,13,6,7,START,0
48.3225,6,8,6,START,0
48.3225,19,8,3,START,0
48.3243,6,8,6,SUCCESS,1
48.3243,13,6,7,SUCCESS,1
48.3243,19,8,3,SUCCESS,1
49.8142,18,2,6,START,0
49.816,18,2,6,SUCCESS,1
49.8237,1,5,6,START,0
49.8255,1,5,6,SUCCESS,1
49.8263,17,7,8,START,0
49.828,17,7,8,SUCCESS,1
